,Team Name,W,L,Conf.,Conf. Rank,Conf. W,Conf. L,C,c,Cc,N_raw,N_adj,SOR_raw,SOR_adj,SPI
1,Georgia,12,1,sec,1,8.0,1.0,1.0,0.9285714285714286,0.9285714285714286,42.17758482500668,35.0,3.896103896103896,52.845528455284544,87.84552845528455
2,Alabama,12,1,sec,1,8.0,1.0,1.0,1.0,1.0,22.592312172393704,18.747657774016567,4.792207792207793,65.0,83.74765777401657
3,Michigan,12,1,big-ten,3,9.0,1.0,0.8181818181818181,1.0,0.8181818181818181,24.64675354630377,20.452483889243066,3.511904761904762,47.6343721770551,68.08685606629817
4,Oklahoma State,11,2,big-12,2,8.0,2.0,0.9090909090909091,0.9,0.8181818181818181,21.543137254901957,17.877026554505875,3.6983471074380163,50.163217541266306,68.04024409577218
5,Baylor,11,2,big-12,2,8.0,2.0,0.9090909090909091,1.0,0.9090909090909091,18.79567307692308,15.597113026307655,3.246753246753247,44.03794037940379,59.635053405711446
6,Cincinnati,13,0,american,7,9.0,0.0,0.4545454545454546,1.0,0.4545454545454546,25.6527950310559,21.28732192258271,2.518496654860291,34.16009690399934,55.44741882658204
7,Ohio State,10,2,big-ten,3,8.0,1.0,0.8181818181818181,0.9285714285714286,0.7597402597402597,24.303202061096794,20.167396394733064,2.5695592286501374,34.85269360269359,55.02008999742666
8,Notre Dame,11,1,independent,9,0.0,0.0,0.2727272727272727,1.0,0.2727272727272727,21.22125884301614,17.609923910702424,2.580873671782763,35.00615915250062,52.61608306320304
9,Ole Miss,10,2,sec,1,6.0,2.0,1.0,0.8571428571428572,0.8571428571428572,12.371866295264613,10.266479745837197,3.0720188902007086,41.66789849716678,51.93437824300398
10,Oklahoma,10,2,big-12,2,7.0,2.0,0.9090909090909091,0.8,0.7272727272727273,12.9417078392622,10.739348311514071,2.572018890200708,34.88605567873859,45.625403990252664
11,BYU,10,2,independent,9,0.0,0.0,0.2727272727272727,0.5714285714285714,0.1558441558441558,15.54093114673547,12.896247909701295,2.1830775285320736,29.610577317894382,42.50682522759568
12,Pitt,11,2,acc,4,8.0,1.0,0.7272727272727273,1.0,0.7272727272727273,17.47103594080338,14.497896464796487,1.8896103896103895,25.630081300813004,40.127977765609494
13,Clemson,9,3,acc,4,6.0,2.0,0.7272727272727273,0.7857142857142857,0.5714285714285714,19.418407960199005,16.1138737892837,1.564935064935065,21.226287262872624,37.340161052156326
14,Utah,10,3,pac-12,5,9.0,1.0,0.6363636363636364,1.0,0.6363636363636364,23.313783672911267,19.34635261685506,1.155844155844156,15.67750677506775,35.02385939192281
15,Michigan State,10,2,big-ten,3,7.0,2.0,0.8181818181818181,0.8571428571428572,0.7012987012987013,8.433937523632943,6.998689340602998,1.935064935064935,26.246612466124656,33.24530180672765
16,Oregon,10,3,pac-12,5,7.0,3.0,0.6363636363636364,0.9166666666666666,0.5833333333333333,8.736967653303367,7.25015121501968,1.7142857142857144,23.2520325203252,30.50218373534488
17,Louisiana,12,1,sun-belt,8,9.0,0.0,0.36363636363636365,1.0,0.36363636363636365,15.113534824940817,12.541583902151391,1.291774891774892,17.521228545618786,30.06281244777018
18,Arkansas,8,4,sec,1,4.0,4.0,1.0,0.5714285714285714,0.5714285714285714,9.736111111111116,8.079265095493412,1.4987012987012989,20.32791327913279,28.407178374626202
19,Wake Forest,10,3,acc,4,7.0,2.0,0.7272727272727273,0.9285714285714286,0.6753246753246753,13.141084302605016,10.904795817480824,1.0844155844155845,14.708672086720867,25.61346790420169
20,San Diego State,11,2,mwc,6,7.0,2.0,0.5454545454545454,0.9166666666666666,0.49999999999999994,3.1990807934204213,2.654676132696202,1.533549783549783,20.800587172538382,23.455263305234585
21,Kentucky,9,3,sec,1,5.0,3.0,1.0,0.7857142857142857,0.7857142857142857,13.700332912097618,11.368874104880438,0.7999999999999998,10.850948509485091,22.21982261436553
22,Houston,11,2,american,7,8.0,1.0,0.4545454545454546,0.9090909090909091,0.4132231404958678,19.953529937444145,16.5579312022742,0.31877213695395534,4.323725055432375,20.881656257706577
23,North Carolina State,9,3,acc,4,6.0,2.0,0.7272727272727273,0.8571428571428572,0.6233766233766235,11.541674973545767,9.57756651430166,0.7709563164108619,10.4570091155457,20.03457562984736
24,Texas A&M,8,4,sec,1,4.0,4.0,1.0,0.7142857142857143,0.7142857142857143,13.8160516882392,11.464900398983323,0.5703463203463199,7.735998193315259,19.200898592298582
25,Iowa,10,3,big-ten,3,7.0,3.0,0.8181818181818181,0.7857142857142857,0.6428571428571428,-5.3739452580195195,-4.4594322982469015,1.7229437229437226,23.369467028003605,18.910034729756703
26,Mississippi State,7,5,sec,1,4.0,4.0,1.0,0.5,0.5,11.290292541284515,9.368963172843205,0.6351829988193627,8.615422517861543,17.984385690704745
27,Wisconsin,8,4,big-ten,3,6.0,3.0,0.8181818181818181,0.7142857142857143,0.5844155844155844,14.794743807903188,12.277043254729072,0.35281385281385225,4.785456187895203,17.062499442624276
28,Fresno State,9,3,mwc,6,6.0,2.0,0.5454545454545454,0.8333333333333334,0.45454545454545453,12.904885057471262,10.70879185912283,0.19155844155844126,2.5982384823848195,13.307030341507648
29,Iowa State,7,5,big-12,2,5.0,4.0,0.9090909090909091,0.7,0.6363636363636364,13.039154629410373,10.82021206104683,0.09740259740259716,1.3211382113821102,12.141350272428939
30,UTSA,12,1,cusa,11,8.0,1.0,0.09090909090909094,1.0,0.09090909090909094,11.737539234149391,9.740099507823434,0.11570247933884292,1.5693520571569342,11.309451564980366
31,Army,8,3,independent,9,0.0,0.0,0.2727272727272727,0.8571428571428572,0.23376623376623376,17.641487521620956,14.6393413899473,-0.3182605273514365,-4.316785743615012,10.322555646332285
32,Coastal Carolina,10,2,sun-belt,8,6.0,2.0,0.36363636363636365,0.8,0.29090909090909095,20.14950495049504,16.72055610090791,-0.4792207792207792,-6.499999999999998,10.220556100907912
33,Penn State,7,5,big-ten,3,4.0,5.0,0.8181818181818181,0.5,0.40909090909090906,13.17648922686945,10.934175696731769,-0.05411255411255422,-0.7339656729900645,10.200210023741704
34,Tennessee,7,5,sec,1,4.0,4.0,1.0,0.6428571428571428,0.6428571428571428,9.151452671040298,7.594101104065758,0.18874458874458888,2.560072267389342,10.1541733714551
35,Appalachian State,10,3,sun-belt,8,7.0,2.0,0.36363636363636365,0.9,0.32727272727272727,15.70598733448475,13.033215604631984,-0.22396694214876,-3.037817196353777,9.995398408278207
36,Purdue,8,4,big-ten,3,6.0,3.0,0.8181818181818181,0.5714285714285714,0.46753246753246747,-0.04656319290465305,-0.03863928573493417,0.6374458874458875,8.646115627822944,8.60747634208801
37,Utah State,10,3,mwc,6,7.0,2.0,0.5454545454545454,1.0,0.5454545454545454,11.762679175198818,9.760961250864923,-0.12121212121212199,-1.6440831074977518,8.11687814336717
38,UCLA,8,4,pac-12,5,6.0,3.0,0.6363636363636364,0.8333333333333334,0.5303030303030303,10.253670006133719,8.508748229744644,-0.10497835497835517,-1.4238934056007249,7.084854824143918
39,Miami (FL),7,5,acc,4,5.0,3.0,0.7272727272727273,0.7142857142857143,0.5194805194805195,10.204279046714294,8.467762393622161,-0.11428571428571432,-1.5501355013550138,6.917626892267147
40,Kansas State,7,5,big-12,2,4.0,5.0,0.9090909090909091,0.6,0.5454545454545454,8.731063377362915,7.245251701243033,-0.07575757575757569,-1.0275519421860875,6.217699759056945
41,Air Force,9,3,mwc,6,6.0,2.0,0.5454545454545454,0.75,0.40909090909090906,11.949771997973317,9.916215488969733,-0.38016528925619864,-5.156442473515647,4.759773015454086
42,Minnesota,8,4,big-ten,3,6.0,3.0,0.8181818181818181,0.6428571428571428,0.5259740259740259,9.506946799824128,7.889098898725095,-0.2413419913419914,-3.2734869015356822,4.615611997189411
43,Auburn,6,6,sec,1,3.0,5.0,1.0,0.4285714285714286,0.4285714285714286,4.540990990990995,3.7682263065583115,-0.10692640692640731,-1.45031616982837,2.3179101367299406
44,Nevada,8,4,mwc,6,5.0,3.0,0.5454545454545454,0.6666666666666667,0.36363636363636365,10.048778308839957,8.33872404663803,-0.6103896103896105,-8.279132791327914,0.05959125531011661
45,Arizona State,8,4,pac-12,5,6.0,3.0,0.6363636363636364,0.75,0.4772727272727273,13.18975722133617,10.945185805733077,-0.9956709956709957,-13.504968383017163,-2.559782577284088
46,LSU,6,6,sec,1,3.0,5.0,1.0,0.3571428571428571,0.3571428571428571,-2.7237606289106377,-2.2602437386445873,-0.23030303030303023,-3.1237579042457075,-5.384001642890294
47,West Virginia,6,6,big-12,2,4.0,5.0,0.9090909090909091,0.5,0.45454545454545453,6.376844174190781,5.2916625506814325,-0.7987012987012991,-10.833333333333337,-5.541670782651906
48,Florida,6,6,sec,1,2.0,6.0,1.0,0.1428571428571429,0.1428571428571429,14.099470374048334,11.700088213659672,-1.28099173553719,-17.374969204237495,-5.674880990577824
49,UCF,8,4,american,7,5.0,3.0,0.4545454545454546,0.8181818181818181,0.371900826446281,16.43719806763284,13.63999230287976,-1.4834710743801653,-20.121335304262132,-6.481343001382372
50,Oregon State,7,5,pac-12,5,5.0,4.0,0.6363636363636364,0.5833333333333333,0.37121212121212116,9.740903098220173,8.08324160456838,-1.077922077922078,-14.620596205962057,-6.537354601393678
51,Boise State,7,5,mwc,6,5.0,3.0,0.5454545454545454,0.5833333333333333,0.3181818181818181,6.332588320115361,5.254937951606681,-0.9722550177095635,-13.187361419068738,-7.9324234674620575
52,Louisville,6,6,acc,4,4.0,4.0,0.7272727272727273,0.6428571428571428,0.4675324675324675,6.109369557645425,5.069705517865816,-0.972255017709563,-13.187361419068733,-8.117655901202916
53,Texas,5,7,big-12,2,3.0,6.0,0.9090909090909091,0.4,0.36363636363636365,9.128496215261018,7.5750512709468545,-1.402597402597403,-19.02439024390244,-11.449338972955587
54,Washington State,7,5,pac-12,5,6.0,3.0,0.6363636363636364,0.6666666666666667,0.4242424242424243,6.364255491798527,5.281216151591562,-1.2759740259740262,-17.30691056910569,-12.02569441751413
55,Texas Tech,6,6,big-12,2,3.0,6.0,0.9090909090909091,0.30000000000000004,0.27272727272727276,-0.9663551401869155,-0.8019053259419693,-0.8530106257378982,-11.56996797240699,-12.37187329834896
56,Maryland,6,6,big-ten,3,3.0,6.0,0.8181818181818181,0.3571428571428571,0.29220779220779214,-0.8973409306742681,-0.7446356329767493,-0.8939393939393945,-12.12511291779585,-12.8697485507726
57,SMU,8,4,american,7,4.0,4.0,0.4545454545454546,0.5454545454545454,0.24793388429752067,10.90671948356806,9.050664790520557,-1.6263282172373081,-22.059004680955894,-13.00833989043534
58,South Carolina,6,6,sec,1,3.0,5.0,1.0,0.2857142857142857,0.2857142857142857,-3.8954616588419393,-3.232550147789224,-0.9512396694214877,-12.902315841340231,-16.134865989129455
59,North Carolina,6,6,acc,4,3.0,5.0,0.7272727272727273,0.3571428571428571,0.2597402597402597,4.873028237585203,4.043759001922773,-1.6805194805194794,-22.794037940379386,-18.750278938456614
60,Western Michigan,7,5,mac,10,4.0,4.0,0.18181818181818177,0.5,0.09090909090909088,10.753846153846155,8.923806731614006,-2.348484848484849,-31.85411020776875,-22.93030347615474
61,Virginia,6,6,acc,4,4.0,4.0,0.7272727272727273,0.5714285714285714,0.41558441558441556,2.9835132875268173,2.4757929003447168,-2.0519480519480515,-27.831978319783186,-25.356185419438475
62,Central Michigan,8,4,mac,10,6.0,2.0,0.18181818181818177,0.9166666666666666,0.1666666666666666,6.851422623178345,5.685479450901776,-2.4978354978354984,-33.87985546522132,-28.194376014319545
63,Liberty,7,5,independent,9,0.0,0.0,0.2727272727272727,0.7142857142857143,0.1948051948051948,11.878027997565432,9.856680548202164,-2.8064935064935064,-38.066395663956634,-28.20971511575447
64,Missouri,6,6,sec,1,3.0,5.0,1.0,0.2142857142857143,0.2142857142857143,-11.539771393085507,-9.575986876292857,-1.4177489177489178,-19.229900632339653,-28.80588750863251
65,Nebraska,3,9,big-ten,3,1.0,8.0,0.8181818181818181,0.2142857142857143,0.17532467532467533,18.549546050242377,15.392870749999856,-3.25974025974026,-44.2140921409214,-28.821221390921547
66,UAB,8,4,cusa,11,6.0,2.0,0.09090909090909094,0.8571428571428572,0.07792207792207795,3.604511278195493,2.991112347002962,-2.3825265643447464,-32.31584134023158,-29.32472899322862
67,Boston College,6,6,acc,4,2.0,6.0,0.7272727272727273,0.2857142857142857,0.20779220779220778,4.17870299449247,3.467590792930455,-2.4327036599763874,-32.996427691549634,-29.528836898619186
68,Texas Christian,5,7,big-12,2,3.0,6.0,0.9090909090909091,0.19999999999999996,0.18181818181818177,-10.065525193933881,-8.352621024872304,-1.6157024793388435,-21.914880512441492,-30.267501537313795
69,East Carolina,7,5,american,7,5.0,3.0,0.4545454545454546,0.7272727272727273,0.3305785123966943,3.4910383940802245,2.896949749487902,-2.4560802833530104,-33.313500862281344,-30.416551112793442
70,Syracuse,5,7,acc,4,2.0,6.0,0.7272727272727273,0.2142857142857143,0.15584415584415587,4.511939774306358,3.744118890541464,-2.5627705627705626,-34.760614272809384,-31.016495382267923
71,Georgia State,7,5,sun-belt,8,6.0,2.0,0.36363636363636365,0.7,0.2545454545454545,2.383136813496022,1.977585696725525,-2.4454545454545453,-33.169376693766935,-31.19179099704141
72,Northern Illinois,9,4,mac,10,7.0,2.0,0.18181818181818177,1.0,0.18181818181818177,-7.765239551478082,-6.443787273011307,-1.941558441558442,-26.334688346883468,-32.77847561989478
73,Toledo,7,5,mac,10,5.0,3.0,0.18181818181818177,0.75,0.13636363636363633,20.035672514619876,16.626095138475833,-3.772727272727273,-51.1720867208672,-34.54599158239138
74,Tulsa,6,6,american,7,5.0,3.0,0.4545454545454546,0.6363636363636364,0.2892561983471075,1.222465531224657,1.0144320441860724,-2.6501770956316415,-35.94616900714462,-34.931736962958546
