,Team Name,W,L,Conf.,Conf. Rank,Conf. W,Conf. L,C,c,Cc,N_raw,N_adj,SOR_raw,SOR_adj,SPI
1,Georgia,12,1,sec,1,8.0,1.0,1.0,0.9285714285714286,0.9285714285714286,42.17758482500668,35.0,3.896103896103896,51.587301587301575,86.58730158730158
2,Alabama,12,1,sec,1,8.0,1.0,1.0,1.0,1.0,22.592312172393704,18.747657774016567,4.90909090909091,65.0,83.74765777401657
3,Michigan,12,1,big-ten,3,9.0,1.0,0.8181818181818181,1.0,0.8181818181818181,24.64675354630377,20.452483889243066,3.511904761904762,46.50022045855378,66.95270434779684
4,Oklahoma State,11,2,big-12,2,8.0,2.0,0.9090909090909091,0.9,0.8181818181818181,21.543137254901957,17.877026554505875,3.6983471074380163,48.968855218855204,66.84588177336109
5,Baylor,11,2,big-12,2,8.0,2.0,0.9090909090909091,1.0,0.9090909090909091,18.79567307692308,15.597113026307655,3.1688311688311694,41.957671957671955,57.554784983979616
6,Ohio State,10,2,big-ten,3,8.0,1.0,0.8181818181818181,0.9285714285714286,0.7597402597402597,24.303202061096794,20.167396394733064,2.5695592286501374,34.022867564534224,54.190263959267284
7,Cincinnati,13,0,american,7,9.0,0.0,0.4545454545454546,1.0,0.4545454545454546,25.6527950310559,21.28732192258271,2.3626524990161353,31.28326919993586,52.570591122518564
8,Notre Dame,11,1,independent,9,0.0,0.0,0.2727272727272727,0.4285714285714286,0.11688311688311688,21.22125884301614,17.609923910702424,2.580873671782763,34.172679172679175,51.782603083381595
9,Ole Miss,10,2,sec,1,6.0,2.0,1.0,0.8571428571428572,0.8571428571428572,12.371866295264613,10.266479745837197,3.0720188902007086,40.67580567580567,50.942285421642865
10,Oklahoma,10,2,big-12,2,7.0,2.0,0.9090909090909091,0.8,0.7272727272727273,12.9417078392622,10.739348311514071,2.572018890200708,34.055435305435296,44.79478361694937
11,BYU,10,2,independent,9,0.0,0.0,0.2727272727272727,0.2857142857142857,0.0779220779220779,15.54093114673547,12.896247909701295,2.1830775285320736,28.90556357223023,41.80181148193153
12,Pitt,11,2,acc,4,8.0,1.0,0.7272727272727273,1.0,0.7272727272727273,17.47103594080338,14.497896464796487,2.0064935064935066,26.567460317460313,41.06535678225679
