,Team Name,W,L,Conf.,Conf. Rank,Conf. W,Conf. L,C,c,Cc,N_raw,N_adj,SOR_raw,SOR_adj,SPI
1,Michigan,8,0,big ten,2,5,0,0.9090909090909091,1.0,0.9090909090909091,34.75,35.0,2.1515151515151514,60.12064343163539,95.12064343163539
2,Florida State,7,0,acc,4,5,0,0.7272727272727273,1.0,0.7272727272727273,23.0,27.55656108597285,2.8181818181818183,65.0,92.55656108597286
3,Oklahoma,7,0,big 12,3,4,0,0.8181818181818181,1.0,0.8181818181818181,27.0,30.090497737556564,1.9480519480519478,58.63148915427736,88.72198689183392
4,Ohio State,7,0,big ten,2,4,0,0.9090909090909091,0.9285714285714286,0.8441558441558441,23.714285714285715,28.009049773755656,2.017316017316017,59.13843529125031,87.14748506500597
5,Penn State,6,1,big ten,2,3,1,0.9090909090909091,0.8571428571428572,0.7792207792207793,30.0,31.990950226244344,1.3798701298701297,54.472946624421155,86.4638968506655
6,Texas,6,1,big 12,3,3,1,0.8181818181818181,0.8571428571428572,0.7012987012987013,17.000000000000007,23.75565610859729,2.337662337662338,61.48306117475019,85.23871728334748
7,Alabama,7,1,sec,1,5,0,1.0,1.0,1.0,14.125,21.93438914027149,2.325396825396825,61.39328946299456,83.32767860326605
8,Georgia,7,0,sec,1,4,0,1.0,0.9285714285714286,0.9285714285714286,26.142857142857142,29.54751131221719,1.1753246753246755,52.97587131367292,82.52338262589012
9,Ole Miss,6,1,sec,1,3,1,1.0,0.7857142857142857,0.7857142857142857,16.285714285714285,23.30316742081448,1.8636363636363638,58.013648549841584,81.31681597065607
10,Washington,7,0,pac-12,5,4,0,0.6363636363636364,1.0,0.6363636363636364,21.285714285714285,26.470588235294116,1.4242424242424243,54.79770899341946,81.26829722871356
11,Notre Dame,6,2,fbs independents,11,0,0,0.09090909090909094,1.0,0.09090909090909094,19.5,25.339366515837103,1.1655844155844153,52.904582013161104,78.2439485289982
12,Missouri,7,1,sec,1,3,1,1.0,0.7142857142857143,0.7142857142857143,10.625,19.717194570135746,1.8903318903318906,58.20903404013325,77.92622861026899
13,Liberty,7,0,conference usa,7,5,0,0.4545454545454546,1.0,0.4545454545454546,16.571428571428573,23.4841628959276,1.323232323232323,54.05841254366724,77.54257543959484
14,LSU,6,2,sec,1,4,1,1.0,0.8571428571428572,0.8571428571428572,20.875,26.210407239819006,0.9383116883116883,51.241165001218626,77.45157224103762
15,Air Force,7,0,mountain west,8,4,0,0.36363636363636365,1.0,0.36363636363636365,20.714285714285726,26.108597285067876,0.8427128427128426,50.54147371841742,76.6500710034853
16,Utah,6,1,pac-12,5,3,1,0.6363636363636364,0.8333333333333334,0.5303030303030303,8.428571428571429,18.325791855203622,1.4783549783549783,55.19376066292956,73.5195525181332
17,Tennessee,5,2,sec,1,2,2,1.0,0.5,0.5,12.142857142857142,20.678733031674206,0.9415584415584415,51.26492810138923,71.94366113306343
18,Kansas State,5,2,big 12,3,3,1,0.8181818181818181,0.9285714285714286,0.7597402597402597,18.714285714285715,24.84162895927602,0.35064935064935054,46.94004387033877,71.78167282961479
19,Rutgers,6,2,big ten,2,3,2,0.9090909090909091,0.7142857142857143,0.6493506493506493,12.37500000000001,20.825791855203626,0.6818181818181819,49.36388008774068,70.18967194294432
20,North Carolina,6,1,acc,4,3,1,0.7272727272727273,0.8571428571428572,0.6233766233766235,13.428571428571423,21.493212669683256,0.5454545454545455,48.3658298805752,69.85904255025845
21,Miami,5,2,acc,4,1,2,0.7272727272727273,0.4285714285714286,0.31168831168831174,17.142857142857142,23.846153846153843,0.21212121212121204,45.926151596392884,69.77230544254672
22,Tulane,6,1,american athletic,9,3,0,0.2727272727272727,0.9285714285714286,0.2532467532467532,11.285714285714286,20.13574660633484,0.6428571428571428,49.078722885693395,69.21446949202824
23,Louisville,6,1,acc,4,3,1,0.7272727272727273,0.9285714285714286,0.6753246753246753,13.571428571428582,21.583710407239828,0.4025974025974026,47.32025347306848,68.90396388030831
24,Iowa,6,2,big ten,2,3,2,0.9090909090909091,0.6428571428571428,0.5844155844155844,4.999999999999989,16.153846153846146,1.008658008658009,51.75603217158177,67.90987832542793
