,Team Name,W,L,Conf.,Conf. Rank,Conf. W,Conf. L,C,c,Cc,N_raw,N_adj,SOR_raw,SOR_adj,SPI
1,Ohio State,0,0,big ten,4,0.0,0.0,0.7272727272727273,0.8333333333333334,0.6060606060606061,16.64514010507881,27.629573344391734,4.76343795093795,61.2866484229627,88.91622176735443
2,Notre Dame,0,0,fbs independents,10,0.0,0.0,0.18181818181818177,1.0,0.18181818181818177,12.157006920415228,20.179638755542943,5.052054154995331,65.0,85.17963875554294
3,Texas,0,0,sec,1,0.0,0.0,1.0,1.0,1.0,10.75,17.844122162815815,3.8166857652151767,49.10568397088288,66.9498061336987
4,Oregon,0,0,big ten,4,0.0,0.0,0.7272727272727273,0.7222222222222222,0.5252525252525253,8.0327868852459,13.333770277971404,4.045454545454547,52.0490353799045,65.3828056578759
5,Georgia,0,0,sec,1,0.0,0.0,1.0,0.6875,0.6875,3.634920634920636,6.033671428991987,3.8781194295900177,49.89609279506706,55.92976422405904
6,Penn State,0,0,big ten,4,0.0,0.0,0.7272727272727273,0.7777777777777778,0.5656565656565656,8.987028301886795,14.91773310693499,3.000000000000001,38.59816106824379,53.51589417517878
7,Indiana,0,0,big ten,4,0.0,0.0,0.7272727272727273,0.8888888888888888,0.6464646464646464,21.085374588167888,35.0,1.4001443001443,18.01433173858438,53.01433173858439
8,SMU,0,0,acc,3,0.0,0.0,0.8181818181818181,1.0,0.8181818181818181,2.755381604696675,4.573708461337948,3.1313874034462272,40.28859845509571,44.86230691643367
9,Miami,0,0,acc,3,0.0,0.0,0.8181818181818181,0.8823529411764706,0.7219251336898395,11.366293951232656,18.867119795746046,1.854516806722689,23.86031280321582,42.72743259896187
10,Boise State,0,0,mountain west,5,0.0,0.0,0.6363636363636364,1.0,0.6363636363636364,9.25287356321839,15.359014532014681,2.032467532467532,26.14983639471926,41.50885092673394
11,Arizona State,0,0,big 12,2,0.0,0.0,0.9090909090909091,0.9375,0.8522727272727273,2.3019832661915096,3.8211042435980516,2.8801406926406923,37.05604478458288,40.87714902818093
12,Alabama,0,0,sec,1,0.0,0.0,1.0,0.9375,0.9375,12.241457858769929,20.319820417009517,1.5911255411255416,20.471506638720065,40.79132705572958
13,Clemson,0,0,acc,3,0.0,0.0,0.8181818181818181,0.7647058823529411,0.6256684491978609,4.352733686067017,7.22518247780311,2.4019766997708167,30.903961179974203,38.12914365777731
14,BYU,0,0,big 12,2,0.0,0.0,0.9090909090909091,1.0,0.9090909090909091,-3.6448243114909804,-6.050110723371731,3.4166666666666665,43.95901677216652,37.90890604879479
15,Iowa State,0,0,big 12,2,0.0,0.0,0.9090909090909091,0.75,0.6818181818181818,-0.08949096880131258,-0.14854770044273122,2.711643748408454,34.8881540535886,34.739606353145874
16,Ole Miss,0,0,sec,1,0.0,0.0,1.0,0.875,0.875,15.986515476555319,26.53631024385105,0.5614113827349123,7.223148992115866,33.759459235966915
17,Tennessee,0,0,sec,1,0.0,0.0,1.0,0.8125,0.8125,10.794761273209552,17.918422221170644,0.8906194295900178,11.458757397940968,29.377179619111608
18,Memphis,0,0,american athletic,8,0.0,0.0,0.36363636363636365,0.8571428571428572,0.31168831168831174,6.134615384615385,10.182960590229419,1.0635599694423223,13.68381966875706,23.86678025898648
19,UNLV,0,0,mountain west,5,0.0,0.0,0.6363636363636364,0.9166666666666666,0.5833333333333333,1.6818181818181834,2.791680845768228,1.617424242424242,20.80986714159102,23.601547987359247
20,Army,0,0,american athletic,8,0.0,0.0,0.36363636363636365,1.0,0.36363636363636365,11.023809523809526,18.298623613252985,0.4025974025974024,5.179839797037041,23.478463410290026
21,South Carolina,0,0,sec,1,0.0,0.0,1.0,0.75,0.75,3.0788655788655763,5.110665442992183,1.3933452168746285,17.92685436819799,23.037519811190172
22,Florida,0,0,sec,1,0.0,0.0,1.0,0.3125,0.3125,-2.3829431438127058,-3.955491029324493,1.8466864018334603,23.75956639350115,19.804075364176658
23,Missouri,0,0,sec,1,0.0,0.0,1.0,0.625,0.625,-3.9198036006546655,-6.506553888774619,1.921791443850267,24.725871896435123,18.219318007660508
24,Syracuse,0,0,acc,3,0.0,0.0,0.8181818181818181,0.6470588235294117,0.5294117647058822,-0.6023615210974098,-0.999870936617836,1.4692513368983948,18.903466583778915,17.903595647161076
