,Team Name,W,L,Conf.,Conf. Rank,Conf. W,Conf. L,C,c,Cc,N_raw,N_adj,SOR_raw,SOR_adj,SPI
1,Notre Dame,1,0,fbs independents,6,0,0,0.5454545454545454,1.0,0.5454545454545454,347.55555555555554,4.679832435667266,0.45454545454545453,65.0,69.67983243566727
2,Texas Tech,1,0,big 12,3,1,0,0.8181818181818181,0.5714285714285714,0.46753246753246747,480.0,6.463195691202873,0.40909090909090906,58.49999999999999,64.96319569120287
3,Virginia,1,0,acc,2,1,0,0.9090909090909091,0.6428571428571428,0.5844155844155844,296.3333333333333,3.9901256732495516,0.38961038961038963,55.714285714285715,59.70441138753527
4,Kansas State,1,0,big 12,3,1,0,0.8181818181818181,0.6428571428571428,0.5259740259740259,566.6774193548387,7.630306364741994,0.35064935064935066,50.142857142857146,57.773163507599136
5,Iowa,1,0,big ten,4,1,0,0.7272727272727273,0.5714285714285714,0.41558441558441556,390.33333333333337,5.255834829443447,0.36363636363636365,52.0,57.25583482944345
6,Louisville,1,0,acc,2,1,0,0.9090909090909091,0.7857142857142857,0.7142857142857143,374.4736842105263,5.042284796371539,0.3246753246753246,46.42857142857142,51.47085622494296
7,SMU,1,0,american athletic,5,1,0,0.6363636363636364,0.5714285714285714,0.3636363636363636,430.94736842105266,5.802702447321177,0.3181818181818182,45.50000000000001,51.30270244732118
8,Oklahoma,1,0,big 12,3,1,0,0.8181818181818181,0.7142857142857143,0.5844155844155844,563.9677419354839,7.593820582614237,0.29220779220779214,41.78571428571428,49.37953486832851
9,Michigan State,1,0,big ten,4,1,0,0.7272727272727273,0.6428571428571428,0.4675324675324675,260.25,3.5042639138240577,0.31168831168831174,44.57142857142858,48.07569248525264
10,New Mexico State,1,0,conference usa,7,0,0,0.4545454545454546,0.5555555555555556,0.25252525252525254,449.1935483870968,6.048387096774195,0.2857142857142857,40.857142857142854,46.90552995391705
11,North Texas,1,0,american athletic,5,1,0,0.6363636363636364,0.6428571428571428,0.40909090909090906,419.0,5.641831238779175,0.27272727272727276,39.00000000000001,44.64183123877918
12,Michigan,1,0,big ten,4,1,0,0.7272727272727273,0.7857142857142857,0.5714285714285714,526.8064516129032,7.093444142004981,0.2597402597402597,37.14285714285714,44.23630128486212
13,NC State,1,0,acc,2,1,0,0.9090909090909091,0.7142857142857143,0.6493506493506493,277.0,3.7298025134649917,0.2597402597402597,37.14285714285714,40.872659656322135
14,Texas,1,0,big 12,3,1,0,0.8181818181818181,0.7857142857142857,0.6428571428571428,479.0,6.4497307001795345,0.23376623376623373,33.42857142857142,39.87830212875096
15,UAB,1,0,american athletic,5,1,0,0.6363636363636364,0.7857142857142857,0.5,378.7647058823529,5.100063364663639,0.22727272727272724,32.49999999999999,37.60006336466363
16,Navy,1,0,american athletic,5,1,0,0.6363636363636364,0.7142857142857143,0.45454545454545453,815.0000000000001,10.973967684021547,0.1818181818181818,25.999999999999996,36.973967684021545
17,Missouri,1,0,sec,1,1,0,1.0,0.8571428571428572,0.8571428571428572,386.8484848484849,5.208911375877265,0.2142857142857143,30.642857142857146,35.85176851873442
18,Wisconsin,1,0,big ten,4,1,0,0.7272727272727273,0.7142857142857143,0.5194805194805195,350.3333333333333,4.717235188509875,0.20779220779220778,29.71428571428571,34.43152090279559
19,UNLV,1,0,mountain west,8,1,0,0.36363636363636365,0.5833333333333333,0.2121212121212121,472.3548387096774,6.360253663056699,0.18181818181818182,26.0,32.360253663056696
20,Pittsburgh,1,0,acc,2,1,0,0.9090909090909091,0.8571428571428572,0.7792207792207793,321.58333333333337,4.3301166965888696,0.19480519480519481,27.857142857142858,32.18725955373173
21,Arkansas,1,0,sec,1,0,0,1.0,0.5,0.5,200.68181818181816,2.702178880365595,0.20202020202020202,28.88888888888889,31.591067769254487
22,South Carolina,1,0,sec,1,1,0,1.0,0.9285714285714286,0.9285714285714286,715.7647058823529,9.637765339528992,0.1428571428571429,20.428571428571434,30.066336768100427
23,Oklahoma State,1,0,big 12,3,1,0,0.8181818181818181,0.8571428571428572,0.7012987012987013,249.88372093023258,3.3646820592042093,0.17532467532467533,25.071428571428573,28.436110630632783
24,New Mexico,1,0,mountain west,8,1,0,0.36363636363636365,0.6666666666666667,0.24242424242424246,496.0,6.678635547576302,0.15151515151515152,21.666666666666668,28.345302214242974
