name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,35.0,20.0,1.0,12.746153846153845
mid-american,False,24.0,32.0,0.8,12.746153846153845
sec,True,53.0,15.0,0.5,12.746153846153845
sun belt,False,24.0,20.0,0.5,12.746153846153845
pac-12,False,16.0,25.0,0.25,12.746153846153845
fbs independents,False,36.0,40.0,0.1,12.746153846153845
big 12,True,29.0,8.0,0.5,12.746153846153845
acc,True,36.0,24.0,1.0,12.746153846153845
conference usa,False,27.0,37.0,0.4,12.746153846153845
american athletic,False,28.0,20.0,0.8,12.746153846153845
big ten,True,39.0,13.0,0.75,12.746153846153845
