name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,23.0,32.0,0.4,12.564885496183207
mid-american,False,25.0,37.0,0.25,12.564885496183207
sec,True,56.0,12.0,0.75,12.564885496183207
sun belt,False,34.0,27.0,0.25,12.564885496183207
pac-12,False,29.0,14.0,0.75,12.564885496183207
fbs independents,False,36.0,35.0,0.4,12.564885496183207
big 12,True,21.0,5.0,0.6666666666666666,12.564885496183207
acc,True,42.0,22.0,1.0,12.564885496183207
conference usa,False,17.0,21.0,0.5,12.564885496183207
american athletic,False,28.0,23.0,0.6,12.564885496183207
big ten,True,37.0,14.0,0.75,12.564885496183207
