name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,25.0,32.0,0.0,10.029850746268657
mid-american,False,20.0,28.0,0.25,10.029850746268657
sec,True,48.0,8.0,0.75,10.029850746268657
sun belt,False,28.0,27.0,0.5,10.029850746268657
big 12,True,33.0,11.0,0.3333333333333333,10.029850746268657
american athletic,False,27.0,26.0,0.5,10.029850746268657
acc,True,43.0,17.0,0.5,10.029850746268657
conference usa,False,13.0,24.0,0.5,10.029850746268657
big ten,True,42.0,10.0,0.6666666666666666,10.029850746268657
fbs independents,False,18.0,12.0,0.7,10.029850746268657
pac-12,False,12.0,8.0,0.8,10.029850746268657
