rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
1,NC State,acc,1,0,86.41719153521727,0.9693877551020408,0.8075172324099362
2,Boston College,acc,1,0,85.12160228898425,1.0,0.7711015736766809
3,South Carolina,sec,1,0,84.22874514612711,0.9744897959183674,0.7711015736766809
4,Virginia,acc,1,0,83.69303086041282,0.9591836734693877,0.7711015736766809
5,UTSA,conference usa,1,0,83.21428571428572,0.5204081632653061,1.0
6,UAB,conference usa,1,0,81.55017371755568,0.8979591836734694,0.7711015736766809
7,Texas A&M,sec,1,0,79.13090128755364,0.6428571428571429,0.871244635193133
8,Northern Illinois,mid-american,1,0,78.98119762926629,0.4897959183673469,0.9513590844062947
9,Syracuse,acc,1,0,78.4684753729818,0.5867346938775511,0.8912732474964233
10,UTEP,conference usa,2,0,78.20061823012468,0.5790816326530612,0.8912732474964234
11,Buffalo,mid-american,1,0,78.15731657469853,0.8010204081632653,0.7711015736766809
12,Marshall,conference usa,1,0,78.13641472976236,0.6989795918367347,0.8257250617765639
13,San Diego State,mountain west,1,0,78.11133251583895,0.576530612244898,0.8912732474964234
14,Tennessee,sec,1,0,78.00761291641119,0.6479591836734694,0.8512160228898425
15,Missouri,sec,1,0,77.9846208869814,0.5357142857142857,0.9113018597997139
16,Notre Dame,fbs independents,1,0,77.66452074391988,0.5,0.9256080114449212
17,Pittsburgh,acc,1,0,77.54675045984058,0.7091836734693877,0.8111587982832617
18,Auburn,sec,1,0,77.31631923155527,0.7397959183673469,0.7911301859799713
19,Michigan,big ten,1,0,76.88432454526874,0.6530612244897959,0.8311874105865521
20,Rutgers,big ten,1,0,76.66225405495793,0.7244897959183674,0.7893094030433087
21,Troy,sun belt,1,0,76.37160228898425,0.75,0.7711015736766809
22,UCLA,pac-12,2,0,76.12520437359494,0.5994897959183674,0.848354792560801
23,Charlotte,conference usa,1,0,75.99070100143062,0.5,0.8998569384835479
24,Alabama,sec,1,0,75.9692417739628,0.6428571428571429,0.8226037195994277
25,Cincinnati,american athletic,1,0,75.93960760269772,0.6632653061224489,0.8111587982832617
26,USC,pac-12,1,0,75.74954015941141,0.6020408163265306,0.8412017167381974
27,App State,sun belt,1,0,75.50343254742396,0.5561224489795918,0.8621407205098192
28,Ole Miss,sec,1,0,75.50020437359493,0.5816326530612245,0.848354792560801
29,Oregon,pac-12,1,0,75.4961169016963,0.5204081632653061,0.8812589413447782
30,SMU,american athletic,1,0,75.47874514612711,0.7244897959183674,0.7711015736766809
31,Oklahoma,big 12,1,0,75.0797985991119,0.5102040816326531,0.8803485498764468
32,Army,fbs independents,1,0,75.06172082566933,0.6530612244897959,0.8031473533619455
