rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
1,Georgia,sec,15,0,100.0,1.0,1.0
2,Michigan,big ten,13,1,90.7105183497737,0.9562864811895528,0.8806229462790668
3,Tennessee,sec,11,2,84.68819943716512,0.9375071692399458,0.7980838232887233
4,Alabama,sec,11,2,84.46171577496919,0.9306246988919222,0.7983054048269524
5,Ohio State,big ten,11,2,82.187045272302,0.9361306751703411,0.760345717559078
6,TCU,big 12,13,2,80.53413124222153,0.6957948106173576,0.8643278903171386
7,Penn State,big ten,11,2,78.94148775669059,0.8342701140195922,0.7652620579385363
8,LSU,sec,10,4,74.58727783857913,0.7351625410080525,0.7516398292814966
9,Tulane,american athletic,12,2,72.08918529438102,0.7671168676238763,0.6960014604237748
10,Clemson,acc,11,3,71.90993960520564,0.7415534063312172,0.7070087751325083
11,Florida State,acc,10,3,71.85437596698371,0.7971047741402648,0.6762416749549913
12,Kansas State,big 12,10,4,70.57096784562866,0.7070427335861276,0.7049918795402184
13,Washington,pac-12,11,2,69.54820117718205,0.7681983986785658,0.65632703420665
14,Oregon,pac-12,10,3,69.15965199301519,0.7241505884512147,0.674067406111118
15,Troy,sun belt,12,2,68.82097063826465,0.6712538877764049,0.6973397625552381
16,Utah,pac-12,10,4,68.246915267429,0.828469174726258,0.6038537561847688
17,Mississippi State,sec,9,4,67.17332528672719,0.6732203078758402,0.6709325309395813
18,USC,pac-12,11,3,67.04490264292704,0.7377188871373184,0.6342267937403215
19,Minnesota,big ten,9,4,66.31264765298288,0.7778338571657987,0.6013609638796913
20,Oregon State,pac-12,10,3,65.88636283880243,0.7392920232168666,0.6155560311724937
21,Texas,big 12,8,5,65.77308422881485,0.7503039757737044,0.6078837704113107
22,Notre Dame,fbs independents,9,4,64.69016450770111,0.6773497900846543,0.6305064900728954
23,UTSA,conference usa,11,3,62.686744725026024,0.7147117719739252,0.5795666570144405
24,James Madison,sun belt,8,3,62.43239095175808,0.8083669983461216,0.5252237847637512
25,Illinois,big ten,8,5,62.001928418009996,0.7255270825208195,0.5632073927658664
26,UCLA,pac-12,9,4,61.67667836356395,0.703503177407144,0.5700625716048295
27,Ole Miss,sec,8,5,60.89184253751346,0.6622083553190025,0.5802238477130519
28,Pittsburgh,acc,9,4,60.41928100544147,0.6456904264837459,0.5818479396693903
29,Wake Forest,acc,8,5,59.54539038122515,0.659455367179793,0.5609915773835753
30,Louisville,acc,8,5,59.498744949455904,0.659455367179793,0.560273955356356
31,Texas Tech,big 12,8,5,59.47164407154071,0.6112780747436279,0.5857986377771344
32,South Alabama,sun belt,10,3,59.17870285532831,0.6979972011287251,0.5345969356280452
33,Maryland,big ten,8,5,59.13017339759401,0.6099015806740232,0.5812864319077414
34,Air Force,mountain west,10,3,58.963677807723755,0.7792103512354035,0.4875587002228405
35,Iowa,big ten,8,5,58.35096941306321,0.5988896281171855,0.5752281912147956
36,Duke,acc,9,4,57.77319499006543,0.713138635894377,0.5048206574424958
37,NC State,acc,8,5,57.566605284207526,0.6126545688132328,0.5557491596268366
38,South Carolina,sec,8,5,56.68727682908544,0.5796187111427196,0.5600095682936963
39,Marshall,sun belt,9,4,56.47730526682373,0.6718438138062356,0.5071195659016229
40,Cincinnati,american athletic,9,4,56.32161085196044,0.6745968019454449,0.5032418889826135
41,Wisconsin,big ten,7,6,56.244054199980674,0.6291724976484893,0.52650795049667
42,UCF,american athletic,9,5,56.08785985020274,0.6853137914873672,0.49387503304838287
43,Fresno State,mountain west,10,4,55.505612659522264,0.719824464232457,0.4663347140213272
44,Purdue,big ten,8,6,55.01718489623656,0.5063695624387542,0.5737576955520025
45,North Carolina,acc,9,5,54.219989893417505,0.5856162924459971,0.5188218408893478
46,Kentucky,sec,7,6,54.11489298306521,0.5410768771937874,0.5411877274043485
47,Syracuse,acc,7,6,53.708370645393174,0.6030191103259996,0.5015800274458951
48,Western Kentucky,conference usa,9,5,52.917884595454545,0.7530569639129138,0.4086290901308086
49,Arkansas,sec,7,6,52.79009651841279,0.5548418178898346,0.5133943521887473
50,Boise State,mountain west,10,4,52.15109548473208,0.6993736951983298,0.4257387100429314
51,Florida,sec,6,7,51.29715582200978,0.5328179127761591,0.5022850596129877
52,Oklahoma State,big 12,7,6,50.774919158975585,0.5507123356810204,0.4846151909252288
53,Coastal Carolina,sun belt,9,4,50.64556336533719,0.47087567964394683,0.5256140704276776
54,East Carolina,american athletic,8,5,50.41431861917003,0.6167840510220468,0.4434904128215136
55,Houston,american athletic,8,5,49.74936238080203,0.5906306636995572,0.44734291002026966
56,Kansas,big 12,6,7,49.48575546286658,0.5231824542889261,0.4796056855808332
57,Oklahoma,big 12,6,7,49.40982722043529,0.5713597467250912,0.45249593977010916
58,App State,sun belt,6,6,49.20824840324959,0.6665672532060841,0.3981291467851792
59,Memphis,american athletic,7,6,49.05625521923448,0.6869852485718875,0.38479648491105267
60,Washington State,pac-12,7,6,49.01226709307184,0.5768657230035101,0.44341487366075366
61,Auburn,sec,5,7,48.522826586031286,0.4354309573516254,0.5120422012111445
62,Texas A&M,sec,5,7,48.08265787244348,0.5487623024157471,0.44424580442911277
63,Missouri,sec,6,7,48.05559714581017,0.5149234898712978,0.46205038462022696
64,Baylor,big 12,6,7,47.410457634379675,0.6154075569524422,0.39801835601606467
65,BYU,fbs independents,8,5,47.31623717030425,0.5534653238202298,0.42992232056301855
66,SMU,american athletic,7,6,47.290981699610214,0.5809952052123242,0.41470999257198254
67,Ohio,mid-american,10,4,46.94695761824658,0.5830599463167312,0.40830553072555364
68,Michigan State,big ten,5,7,46.904423196346805,0.4667461974351327,0.4702816351710333
69,Liberty,fbs independents,8,5,45.452798605709084,0.5727362407946959,0.3908773873522266
70,Toledo,mid-american,9,5,45.05989409115284,0.6316305227727834,0.35312039683239116
71,West Virginia,big 12,5,7,45.030114183197604,0.4786758127050403,0.4350224729003261
72,UAB,conference usa,7,6,45.014445565477324,0.6443139324141411,0.34559166047665213
73,Southern Miss,sun belt,7,6,44.560742651162464,0.5520888297506251,0.3882712863060091
74,Army,fbs independents,6,6,44.180813941553765,0.629287205487623,0.34085787306903015
75,Middle Tennessee,conference usa,8,5,43.6401293576891,0.5410768771937874,0.3800375177831774
76,Eastern Michigan,mid-american,9,4,43.41814932925898,0.5438298653329968,0.37514006219390905
77,Iowa State,big 12,4,8,42.56674714101755,0.5189382642409782,0.37544473680897406
78,Louisiana,sun belt,6,7,41.83561685602775,0.5796187111427196,0.3315224917851163
79,Georgia Tech,acc,5,7,41.67275965081774,0.31911720847002684,0.46928703622102763
80,Miami,acc,5,7,41.594572545468125,0.4637637936176558,0.3901975349053872
81,San José State,mountain west,7,5,41.57176045486034,0.6173575902177155,0.3071422276498508
82,Vanderbilt,sec,5,7,41.13792819947574,0.3161348046525499,0.4626647697944076
83,Georgia Southern,sun belt,6,7,40.19624646654213,0.5397003831241827,0.3277958931876267
84,Arizona,pac-12,5,7,39.68469818938098,0.4190277363555025,0.3849034987221292
85,New Mexico State,fbs independents,7,6,39.095358188526205,0.547959347541811,0.30641201576250493
86,San Diego State,mountain west,7,6,38.65592934909353,0.5369473949849732,0.3055810849941457
87,Nebraska,big ten,4,8,38.461215700549104,0.43095735162541005,0.35965705221014993
88,Indiana,big ten,4,8,38.299104508744314,0.3295556218311959,0.4117639653023455
89,Georgia State,sun belt,4,8,37.92486158578987,0.49955263942737843,0.31446952624356345
90,Buffalo,mid-american,7,6,37.59819338277073,0.5534653238202298,0.2804139546009644
91,Florida Atlantic,conference usa,5,7,37.38348892674491,0.5770951386817775,0.26438706265973383
92,Virginia,acc,3,7,37.197803997220134,0.3951685058156874,0.3594908660564781
93,North Texas,conference usa,7,7,36.247448549197344,0.5574964850240722,0.25746263959007415
94,Tulsa,american athletic,5,7,35.72561422287275,0.47569340888756334,0.29348222941243124
95,Wyoming,mountain west,7,6,35.62235615085522,0.47225217371355155,0.293746616475091
96,Rutgers,big ten,4,8,35.540566802862315,0.30867879510885776,0.3805662919084969
97,Kent State,mid-american,5,7,35.1152069976703,0.5099910527885476,0.2656233869241713
98,UConn,fbs independents,6,7,34.791262914263335,0.39792149395489684,0.32098477885910687
99,California,pac-12,4,8,33.22826335022591,0.4503429764390098,0.2687116796132395
100,UTEP,conference usa,5,7,32.094162691639546,0.4742022069788249,0.23841669919047198
101,Virginia Tech,acc,3,8,32.04093890622588,0.4228235230322913,0.26526331692454896
102,UL Monroe,sun belt,4,8,31.98329312419376,0.3042051893826424,0.32824786916617354
103,Texas State,sun belt,4,8,31.706847761597786,0.4264837458991949,0.2581525639250148
104,Navy,american athletic,4,8,31.403774135175823,0.47718461079630176,0.2261894270354656
105,Ball State,mid-american,5,7,31.246923927886016,0.45481658216522514,0.235820670032356
106,Miami (OH),mid-american,6,7,30.479482598923912,0.47775814999197047,0.21166072844930692
107,UNLV,mountain west,5,7,30.179809223405123,0.4816582165225171,0.20495033300180038
108,Arizona State,pac-12,3,9,29.865516967123195,0.42499254399045633,0.23062735273011115
109,Bowling Green,mid-american,6,7,29.375249233284695,0.35800316593636006,0.25915597577710914
110,Utah State,mountain west,6,7,29.191322057087387,0.3607561540755695,0.2548439486837301
111,Western Michigan,mid-american,5,7,28.49179566914594,0.42946614971667163,0.2070843142932682
112,Arkansas State,sun belt,3,9,28.474654338030803,0.4056069191768565,0.2196678794898589
113,Rice,conference usa,5,8,28.34393004661263,0.3607561540755695,0.24180714852257995
114,Central Michigan,mid-american,4,8,27.996337756877498,0.45929018789144044,0.18340278739503207
115,Stanford,pac-12,3,9,27.280507682035644,0.3265732180137191,0.24385300079316116
116,Boston College,acc,3,9,26.62556002865021,0.29525797793021175,0.2506389354014277
117,Old Dominion,sun belt,3,9,26.34842198719456,0.393677303906949,0.19338025154540528
118,Northwestern,big ten,1,11,24.26573517647133,0.2594691321204891,0.2336048546500648
119,Temple,american athletic,3,9,23.99214542544804,0.3892036981807337,0.1595387075249594
120,Louisiana Tech,conference usa,3,9,22.86301488355391,0.3608708619147032,0.15742361102368152
121,Florida International,conference usa,4,8,18.394679814230436,0.18789144050104384,0.18182275994913694
122,Northern Illinois,mid-american,3,9,18.30436011825637,0.4220101401729794,0.05436931095695522
123,Colorado State,mountain west,3,9,17.745832329189042,0.27438115120787354,0.12526910826020723
124,Charlotte,conference usa,3,9,17.496509599268954,0.25201312257679687,0.13347769706278562
125,South Florida,american athletic,1,11,14.468741414287061,0.2848195645690426,0.06923164083647035
126,New Mexico,mountain west,2,10,14.347900046813772,0.2892931702952579,0.06496367825353457
127,Akron,mid-american,2,10,13.932911710570101,0.3101699970175962,0.047337874076219
128,Hawai'i,mountain west,3,10,13.786865441101437,0.2533896166464016,0.07566505936119046
129,Nevada,mountain west,2,10,13.670132943403374,0.3042051893826424,0.04650694330785982
130,Colorado,pac-12,1,11,12.965384179581765,0.0,0.19946744891664253
131,Massachusetts,fbs independents,1,11,6.576200417536533,0.18789144050104384,0.0
