rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
1,Michigan,big ten,15,0,95.50151044084912,0.8714717268814032,1.0
2,Georgia,sec,13,1,90.38884969110481,0.8723629321786113,0.9208638009977448
3,Alabama,sec,12,2,82.81729154647412,0.6673704129925954,0.9147588783343583
4,Oregon,pac-12,12,2,82.43183216018588,1.0,0.7297204947720904
5,Washington,pac-12,14,1,81.44759605068896,0.6369510656143776,0.9100662885259344
6,Florida State,acc,13,1,79.31839380608004,0.6862786784554853,0.8507483086175084
7,Penn State,big ten,10,3,79.28953656308839,0.8259487626356717,0.7750973826283059
8,Texas,big 12,12,2,79.16112011822578,0.6470105157423007,0.8694731087268501
9,LSU,sec,10,3,78.24926548724278,0.812979472766689,0.7660766760062871
10,Ole Miss,sec,11,2,77.22337879625208,0.6561191473783459,0.8347570559693841
11,Ohio State,big ten,11,2,76.4877044895934,0.7483077970462463,0.7737989475842274
12,Missouri,sec,11,2,74.71755524717203,0.6103301785563646,0.8208615230415272
13,Oklahoma,big 12,10,3,73.32348907003204,0.7467419346912143,0.725961867012916
14,Notre Dame,fbs independents,10,3,73.23996856485184,0.8114935127246184,0.6898107018383107
15,Kansas State,big 12,9,4,72.57227181085698,0.7798519069583819,0.6965762318048246
16,Liberty,conference usa,13,1,71.93966188988841,0.7294563932821195,0.7139798173079113
17,James Madison,sun belt,11,2,68.42821099607343,0.693813418800056,0.6791498667395611
18,Arizona,pac-12,10,3,64.5053958738206,0.6712924625454213,0.6309255336112439
19,Kansas,big 12,9,4,64.17982938602341,0.5985755160169884,0.6650720973142895
20,SMU,american athletic,11,3,63.94398767327729,0.7643142635004374,0.572199822319415
21,Troy,sun belt,11,3,63.25395665111221,0.6249185259847605,0.6366432037176245
22,Tennessee,sec,9,4,63.1414089498328,0.5576109520807244,0.6711542404154991
23,Memphis,american athletic,10,3,62.104106737852064,0.6574267436518031,0.6014487801544455
24,Louisville,acc,10,4,61.87267972550457,0.6201011850383346,0.6179867422948131
25,Oklahoma State,big 12,10,4,59.79976702198044,0.41987287214347185,0.6939110230301373
26,West Virginia,big 12,9,4,58.91217358465282,0.535007636485487,0.6182600970409349
27,Maryland,big ten,8,5,58.829890966068575,0.5661621862648644,0.6002186837968974
28,Clemson,acc,9,4,58.521383621718435,0.5360260205145043,0.6116995831340122
29,Toledo,mid-american,11,3,58.114464667735334,0.6784742148040559,0.5287364176860521
30,North Carolina,acc,8,5,57.04835870741955,0.5678039518615854,0.5719264675732934
31,USC,pac-12,8,5,56.40411994482175,0.6160273494402607,0.5360486571448096
32,Iowa,big ten,10,4,56.204096905007205,0.26802344995356986,0.7203580947174194
33,Texas A&M,sec,7,6,56.19227484492074,0.561873959652303,0.5619490193398482
34,UNLV,mountain west,9,5,56.03101860546404,0.5113235158375011,0.5866876238638693
35,Duke,acc,8,5,55.33499791208989,0.5333190624861839,0.5641358573088224
36,UCLA,pac-12,8,5,54.92195070385537,0.6443711467222143,0.4979840087473518
37,Air Force,mountain west,9,4,54.85665536931019,0.5831940942731191,0.5299209549192464
38,Miami,acc,7,6,54.45407041512815,0.5563772927816194,0.5381671564272534
39,Oregon State,pac-12,8,5,54.44903412177201,0.6242596797920354,0.501537620446935
40,Wyoming,mountain west,9,4,53.96185973474712,0.4791106081138613,0.572199822319415
41,NC State,acc,9,4,53.40100069683885,0.4773005109719575,0.5645458894280052
42,Tulane,american athletic,11,3,52.93623759058501,0.46706751796434737,0.5629057609512745
43,Jacksonville State,conference usa,9,4,52.903822727877255,0.5873872258275221,0.4976195357525228
44,Northwestern,big ten,8,5,52.84277526913825,0.4008975092435559,0.5970978837786738
45,Utah,pac-12,8,5,52.51897036026338,0.4689792997856784,0.555456844119456
46,Rutgers,big ten,7,6,51.901290207477004,0.42835973407661965,0.5678261463814664
47,UTSA,american athletic,0,0,51.87485749801672,0.5757139728568086,0.48807489920043734
48,Miami (OH),mid-american,11,3,51.85216852948885,0.5265842998545565,0.5141802774550672
49,Virginia Tech,acc,0,0,51.80822727864955,0.5757139728568086,0.48704981890248067
50,Kentucky,sec,7,6,51.73630671839338,0.45207481369946684,0.5525182805986468
51,Georgia Tech,acc,7,6,51.700090517696296,0.5119591228152607,0.5197157110640334
52,South Alabama,sun belt,7,6,51.56500105083781,0.7091323141957214,0.4114672315998086
53,Fresno State,mountain west,9,4,50.89231553787419,0.5169702920646673,0.5045900817786282
54,App State,sun belt,9,5,50.85025243430207,0.5511353864965534,0.48554636779881083
55,Wisconsin,big ten,7,6,50.76804638685797,0.4581695439444948,0.5343401899815485
56,Iowa State,big 12,7,6,50.528839811472345,0.4490506056980307,0.5355702863390965
57,Ohio,mid-american,10,3,50.1997586245962,0.5039940407761642,0.500922572268161
58,UCF,big 12,6,7,49.86593722928868,0.5747932939758106,0.4576641836943894
59,Auburn,sec,6,7,49.8551707397192,0.4817533365894657,0.5075969839859678
60,Western Kentucky,conference usa,8,5,49.77135391663458,0.5025416560652807,0.4951137839130732
61,Boise State,mountain west,8,6,48.65836855627389,0.5528558875417713,0.45089865372787535
62,Texas Tech,big 12,7,6,48.51901652900222,0.43350893551539993,0.5130185197840497
63,New Mexico State,conference usa,10,5,48.13196515905371,0.5296509445495334,0.45529510922800065
64,San José State,mountain west,7,6,47.98380841189188,0.5722917251441728,0.43005535433608966
65,Coastal Carolina,sun belt,8,5,47.840308490718265,0.45836820391876226,0.48919109774710123
66,Florida,sec,5,7,46.92603244107915,0.4482795886212402,0.4805576436820884
67,TCU,big 12,5,7,46.47377822674205,0.5206447204301752,0.43463404633362945
68,UConn,fbs independents,3,9,46.057332648728305,0.22636105993076572,0.5866876238638693
69,South Carolina,sec,5,7,45.58932158021669,0.438728267842048,0.46513588008838475
70,Georgia State,sun belt,7,6,45.245424724738946,0.42171081019828976,0.46900840565844326
71,Texas State,sun belt,8,5,45.17095771686177,0.4905285006899051,0.43080707988792455
72,Nebraska,big ten,5,7,43.210524918963834,0.42690125282228586,0.43490740107975123
73,Virginia,acc,0,0,42.69321326921881,0.5757139728568086,0.3468188341420078
74,Boston College,acc,7,6,42.47052317181303,0.40677366338928667,0.4343606915875077
75,Washington State,pac-12,5,7,42.01733931971548,0.4665476784672542,0.3952026242055628
76,Illinois,big ten,5,7,41.87856062419059,0.34607487501592465,0.45793753844051116
77,Wake Forest,acc,0,0,41.81369437357198,0.5757139728568086,0.3332877742089797
78,California,pac-12,6,7,41.63044542017026,0.41259639724956615,0.4183011002528531
79,Minnesota,big ten,6,7,41.12541603072911,0.24764614770461882,0.4993507824779608
80,Bowling Green,mid-american,7,6,40.75569231380357,0.44293826210402654,0.3885054329255791
81,Mississippi State,sec,5,7,39.87597168288167,0.2495144900188566,0.479122531264949
82,UL Monroe,sun belt,2,10,39.52550658620248,0.03973745814431358,0.5866876238638693
83,BYU,big 12,5,7,39.42645614664935,0.2722919157818499,0.45994213991207084
84,South Florida,american athletic,7,6,39.27426612293477,0.4282792048831008,0.3736075992619422
85,Purdue,big ten,4,8,38.888502588090326,0.3300669882584876,0.4205562769083578
86,Vanderbilt,sec,0,0,38.68651607793882,0.5757139728568086,0.2851773388915465
87,Utah State,mountain west,6,7,38.68438315757785,0.442392593540699,0.35693295974851363
88,Rice,american athletic,6,7,38.506879132370855,0.5352992011090054,0.3041754937470102
89,Syracuse,acc,6,7,37.9240273833441,0.42003356933052327,0.3572746531811658
90,Army,fbs independents,6,6,37.75257939719859,0.3355595363107006,0.4001230096357548
91,Northern Illinois,mid-american,7,6,37.48651678653771,0.47949390348118515,0.3185266179184036
92,Louisiana,sun belt,6,7,37.22561736764068,0.4574021385596537,0.3264083464315815
93,Arkansas,sec,4,8,35.83892156265403,0.2559237064814034,0.4135629513200756
94,Georgia Southern,sun belt,6,7,35.83016980660572,0.3534825878495015,0.36089660356727943
95,UTEP,conference usa,0,0,34.77162052223141,0.5757139728568086,0.22494817649604776
96,Houston,big 12,4,8,33.83257768540247,0.3028388722238926,0.3574341101164035
97,Michigan State,big ten,4,8,33.77576705176747,0.15314855711359499,0.4371625777352559
98,Marshall,sun belt,6,7,33.64678147710535,0.27383966446580166,0.3701906649354199
99,Middle Tennessee,conference usa,4,8,33.60050886870717,0.39583637689591133,0.3037882411900043
100,Old Dominion,sun belt,6,7,33.19783847002753,0.3346232494692287,0.3305542267477619
101,Colorado,pac-12,4,8,33.13815646323888,0.3200996642160567,0.33745643408733683
102,Indiana,big ten,3,9,33.098854002699376,0.2652918171676544,0.366363698489715
103,Arkansas State,sun belt,6,7,33.0674063279976,0.28888784996258743,0.3531743319893391
104,New Mexico,mountain west,4,8,31.485211623061453,0.3731775894932683,0.28344609216610867
105,North Texas,american athletic,5,7,30.700504868137955,0.41205719831326326,0.2504385065719037
106,Colorado State,mountain west,5,7,30.70047462769434,0.31826636837230526,0.3009407959179024
107,Cincinnati,big 12,3,9,30.638276599194715,0.3381493912507274,0.2892776600833732
108,Florida Atlantic,american athletic,4,8,28.888456229332583,0.43613706788730694,0.2095947515888745
109,UAB,american athletic,4,8,28.725706104921468,0.3685373713686595,0.24349074010797517
110,Navy,american athletic,5,7,28.615612114947318,0.3684377816833266,0.24185061163124444
111,Central Michigan,mid-american,5,7,27.49406485311206,0.3592382208424965,0.22954964805576436
112,Hawai'i,mountain west,5,8,25.842836853589585,0.2421725812405289,0.26718148477186265
113,San Diego State,mountain west,4,8,25.748060898296092,0.22888847150719338,0.2728763753160665
114,Arizona State,pac-12,3,9,25.446415596223492,0.1815610497203744,0.2937196747078521
115,Tulsa,american athletic,4,8,25.4046875048348,0.253090943675738,0.25456160732590727
116,Pittsburgh,acc,3,9,25.211412492496333,0.2521377297941031,0.25210141461081115
117,Eastern Michigan,mid-american,6,7,25.034409985696026,0.25922202195433675,0.24556368026606523
118,Baylor,big 12,3,9,24.55510753774829,0.13502726440212603,0.30506389667190587
119,Western Michigan,mid-american,4,8,24.39018283588787,0.29543115939031567,0.21615526549579722
120,Ball State,mid-american,4,8,24.208819467037568,0.2605513082195052,0.2321465181439213
121,Florida International,conference usa,4,8,22.331029345482328,0.23109856536746914,0.21911660857878318
122,Southern Miss,sun belt,3,9,21.961214739030492,0.15546749573124002,0.2541515752067245
123,Sam Houston,conference usa,3,9,21.785024687295774,0.30607322571460926,0.1703455659582223
124,Louisiana Tech,conference usa,3,9,21.174528337838268,0.27818116228014456,0.17597211781589556
125,Buffalo,mid-american,3,9,19.888051378120082,0.29015992388247913,0.14973006218820478
126,Massachusetts,fbs independents,3,9,18.94618798976141,0.16912113622017824,0.200414588031618
127,Stanford,pac-12,3,9,17.804980925463752,0.041033058121684084,0.25182805986468937
128,Temple,american athletic,3,9,17.615064235674197,0.2234406282485194,0.15068680379963104
129,Charlotte,american athletic,3,9,17.442554613260423,0.1786605649770866,0.17214515137019065
130,East Carolina,american athletic,2,10,14.756496009235837,0.18111080845280816,0.12950181097519306
131,Akron,mid-american,2,10,9.40813102287439,0.19176651845187648,0.04148158272398019
132,Nevada,mountain west,2,10,9.100691163871936,0.0021290699123078034,0.13886421102986402
133,Kent State,mid-american,1,11,0.0,0.0,0.0
