rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
1,Duke,acc,1,0,68.19889978791093,0.09139713679745493,1.0
2,Houston,big 12,1,0,65.23739516051286,0.0911983032873807,0.9545454545454544
3,Arkansas,sec,1,0,60.671890410755736,0.04517089485276124,0.9090909090909091
4,Boston College,acc,1,0,59.48019982117978,0.15181523298608945,0.8333333333333331
5,Illinois,big ten,1,0,57.639290572747626,0.07107929774949924,0.8484848484848484
6,UCF,big 12,1,0,57.037199942157514,0.11015376458112407,0.8181818181818181
7,Ole Miss,sec,1,0,52.37722638564017,0.08956577552045543,0.7575757575757573
8,Clemson,acc,1,0,51.05980269288859,0.08006362672322376,0.7424242424242423
9,Michigan State,big ten,1,0,49.740913911115406,0.07051961823966066,0.7272727272727273
10,Texas,big 12,1,0,47.181705710337724,0.08181496834731193,0.6818181818181817
11,NC State,acc,1,0,46.90570873100036,0.10206786850477201,0.6666666666666666
12,Iowa,big ten,1,0,43.782857739644584,0.12539766702014846,0.606060606060606
13,Georgia,sec,1,0,43.36840033420096,0.11355602686461647,0.606060606060606
14,South Carolina,sec,1,0,38.84712645233379,0.05941284813305799,0.5656565656565655
15,Oklahoma State,big 12,1,0,38.62689728675942,0.09063862377754212,0.5454545454545453
16,Florida State,acc,1,0,38.00315924354896,0.1572331212442559,0.5
17,Army,fbs independents,1,0,37.17510063053887,0.07729724745262576,0.5303030303030303
18,New Mexico State,conference usa,1,0,35.70764027418322,0.23233950566930417,0.4242424242424242
19,Indiana,big ten,1,0,34.13643995629679,0.07489395546129374,0.4848484848484848
20,Alabama,sec,1,0,31.6579501269321,0.06035701661364439,0.45454545454545453
21,Fresno State,mountain west,1,0,31.397822193156234,0.0763735633831074,0.4419191919191919
22,Texas Tech,big 12,1,0,29.198279186349176,0.07449628844114528,0.40909090909090906
23,Stanford,pac-12,1,0,27.05642051479803,0.18213149522799577,0.3181818181818181
24,Utah State,mountain west,1,0,26.622345037062033,0.10407277306468717,0.3535353535353536
25,Ohio State,big ten,1,0,26.475706160223663,0.08112407211028633,0.36363636363636365
26,Tennessee,sec,1,0,25.954528842535023,0.05216402753563276,0.37121212121212116
27,Georgia Tech,acc,1,0,24.31424531636621,0.07564510427712973,0.3333333333333334
28,Virginia Tech,acc,0,1,23.064245316366208,0.6589784376104632,0.0
29,Western Kentucky,conference usa,1,0,22.942869843718196,0.1302580417108519,0.28282828282828276
