,Team Name,W,L,Conf.,Conf. Rank,Conf. W,Conf. L,C,c,Cc,N_raw,N_adj,SOR_raw,SOR_adj,SPI
1,Alabama,13,0,sec,2,11,0,0.9090909090909091,1.0,0.9090909090909091,22.504273504273502,34.541050764797156,6.97186147186147,65.0,99.54105076479716
2,Oklahoma,9,2,big 12,1,7,2,1.0,0.9,0.9,12.450317124735719,30.30622003156015,3.879220779220779,51.455094361636974,81.76131439319713
3,Clemson,10,2,acc,3,8,0,0.8181818181818181,1.0,0.8181818181818181,15.578544061302683,31.62386167146974,3.1774891774891776,48.3817052183298,80.00556688979954
4,Texas A&M,9,1,sec,2,8,1,0.9090909090909091,0.9285714285714286,0.8441558441558441,4.318404907975462,26.880974240200846,3.8506493506493507,51.329959455123536,78.21093369532439
5,Ohio State,7,1,big ten,4,6,0,0.7272727272727273,1.0,0.7272727272727273,9.875,29.221469740634006,3.2727272727272734,48.798821573374575,78.02029131400859
6,Notre Dame,10,2,fbs independents,5,0,0,0.6363636363636364,0.8333333333333334,0.5303030303030303,5.478595178719868,27.36965841879451,3.3679653679653674,49.215937928419336,76.58559634721385
7,BYU,11,1,fbs independents,5,0,0,0.6363636363636364,1.0,0.6363636363636364,23.59386973180077,35.0,1.1807359307359309,39.636481638129695,74.6364816381297
8,Iowa State,9,3,big 12,1,8,2,1.0,1.0,1.0,6.939873417721521,27.98516397329734,2.7590909090909084,46.54923723128081,74.53440120457815
9,Cincinnati,9,1,american athletic,7,7,0,0.4545454545454546,1.0,0.4545454545454546,14.83333333333333,31.309971181556193,1.956709956709957,43.035031940028595,74.34500312158478
10,Georgia,8,2,sec,2,7,2,0.9090909090909091,0.7857142857142857,0.7142857142857143,2.592879256965947,26.154164934288595,2.61038961038961,45.89796692238136,72.05213185666996
11,Coastal Carolina,11,1,sun belt,8,8,0,0.36363636363636365,1.0,0.36363636363636365,12.467115097159942,30.31329551181815,1.6545454545454545,41.71163550447744,72.0249310162956
12,Texas,7,3,big 12,1,5,3,1.0,0.7,0.7,6.722950819672128,27.893793924505122,1.9110389610389613,42.8350056879503,70.72879961245543
13,Oklahoma State,8,3,big 12,1,6,3,1.0,0.8,0.8,-5.647864184008765,22.683078302205413,2.8179653679653685,46.80709097803577,69.49016928024118
14,Florida,8,4,sec,2,8,3,0.9090909090909091,0.8571428571428572,0.7792207792207793,1.3019525801952598,25.610413225133545,1.9,42.78665811043375,68.39707133556729
15,Buffalo,6,1,mid-american,6,5,1,0.5454545454545454,0.9166666666666666,0.49999999999999994,16.472744360902254,32.00050811466707,0.35064935064935066,36.000933407228075,68.00144152189516
16,Miami,8,3,acc,3,7,2,0.8181818181818181,0.8571428571428572,0.7012987012987013,-1.6417112299465266,24.37051148885019,2.0922077922077924,43.628474754251386,67.99898624310158
17,Louisiana,0,0,sun belt,8,0,0,0.36363636363636365,0.30000000000000004,0.10909090909090911,0.0,25.062017291066283,1.848051948051948,42.55914009859114,67.62115738965741
18,Northwestern,7,2,big ten,4,6,2,0.7272727272727273,0.7857142857142857,0.5714285714285714,2.1441441441441436,25.965153049302906,1.4545454545454548,40.83569115888342,66.80084420818633
19,North Carolina,8,4,acc,3,7,2,0.8181818181818181,0.9285714285714286,0.7597402597402597,8.283333333333335,28.551043227665705,0.822510822510822,38.06755534813173,66.61859857579742
20,Ball State,7,1,mid-american,6,6,1,0.5454545454545454,1.0,0.5454545454545454,-0.4990875912408761,24.851796419781653,1.303030303030303,40.17209695767582,65.02389337745747
21,Iowa,6,2,big ten,4,6,2,0.7272727272727273,0.8571428571428572,0.6233766233766235,2.5797244094488185,26.148623976037577,0.7012987012987011,37.536679987165655,63.68530396320323
22,Indiana,6,2,big ten,4,6,1,0.7272727272727273,0.9285714285714286,0.6753246753246753,-0.8257575757575744,24.714199633219806,1.0,38.84490855526063,63.55910818848044
23,San José State,0,0,mountain west,10,0,0,0.18181818181818177,0.16666666666666663,0.030303030303030287,0.0,25.062017291066283,0.37878787878787856,36.124172330309484,61.18618962137576
24,TCU,6,4,big 12,1,5,4,1.0,0.6,0.6,-6.700000000000001,22.239907780979827,0.932467532467532,38.54913513986524,60.78904292084506
