,Team Name,W,L,Conf.,Conf. Rank,Conf. W,Conf. L,C,c,Cc,N_raw,N_adj,SOR_raw,SOR_adj,SPI
1,Florida State,2,0,acc,4,0,0,0.7272727272727273,0.7857142857142857,0.5714285714285714,37.0,29.741784037558688,0.6883116883116883,65.0,94.74178403755869
2,Oklahoma,2,0,big 12,2,0,0,0.9090909090909091,1.0,0.9090909090909091,45.0,32.370892018779344,0.4350649350649351,58.39557099435518,90.76646301313453
3,Notre Dame,3,0,fbs independents,8,0,0,0.36363636363636365,1.0,0.36363636363636365,37.666666666666664,29.96087636932707,0.3701298701298701,56.702127659574465,86.66300402890153
4,Penn State,2,0,big ten,3,0,0,0.8181818181818181,0.7857142857142857,0.6428571428571428,39.5,30.56338028169014,0.3246753246753246,55.516717325227965,86.0800976069181
5,Ole Miss,2,0,sec,1,0,0,1.0,1.0,1.0,41.5,31.220657276995304,0.2922077922077922,54.6699956578376,85.8906529348329
6,Texas,2,0,big 12,2,0,0,0.9090909090909091,0.5714285714285714,0.5194805194805194,18.5,23.661971830985916,0.5584415584415585,61.613113330438566,85.27508516142449
7,Cincinnati,2,0,big 12,2,0,0,0.9090909090909091,0.8571428571428572,0.7792207792207793,29.5,27.27699530516432,0.41558441558441556,57.88753799392098,85.16453329908529
8,Georgia Southern,2,0,sun belt,6,0,0,0.5454545454545454,0.9285714285714286,0.5064935064935064,24.0,25.469483568075116,0.4220779220779221,58.05688232739905,83.52636589547416
9,Auburn,2,0,sec,1,0,0,1.0,0.7142857142857143,0.7142857142857143,24.5,25.633802816901408,0.40909090909090906,57.71819366044291,83.35199647734431
10,Washington,2,0,pac-12,5,0,0,0.6363636363636364,0.75,0.4772727272727273,34.999999999999986,29.084507042253517,0.2727272727272727,54.16196265740338,83.2464696996569
11,USC,3,0,pac-12,5,1,0,0.6363636363636364,1.0,0.6363636363636364,42.0,31.384976525821596,0.17424242424242423,51.59357359965263,82.97855012547423
12,Syracuse,2,0,acc,4,0,0,0.7272727272727273,0.8571428571428572,0.6233766233766235,53.0,35.0,0.030303030303030318,47.839774207555365,82.83977420755537
13,Colorado,2,0,pac-12,5,0,0,0.6363636363636364,0.33333333333333337,0.21212121212121215,12.5,21.69014084507042,0.512987012987013,60.42770299609206,82.11784384116247
14,Oregon,2,0,pac-12,5,0,0,0.6363636363636364,0.9166666666666666,0.5833333333333333,41.0,31.056338028169016,0.1298701298701299,50.43638732088581,81.49272534905481
15,Kansas State,2,0,big 12,2,0,0,0.9090909090909091,0.9285714285714286,0.8441558441558441,37.0,29.741784037558688,0.1558441558441558,51.11376465479809,80.85554869235678
16,Washington State,2,0,pac-12,5,0,0,0.6363636363636364,0.5833333333333333,0.37121212121212116,17.5,23.333333333333332,0.38095238095238093,56.984368215371255,80.31770154870458
17,Maryland,2,0,big ten,3,0,0,0.8181818181818181,0.5714285714285714,0.46753246753246747,25.0,25.7981220657277,0.25974025974025977,53.82327399044725,79.62139605617496
18,Mississippi State,2,0,sec,1,0,0,1.0,0.6428571428571428,0.6428571428571428,24.0,25.469483568075116,0.26515151515151514,53.964394268345636,79.43387783642075
19,Miami,2,0,acc,4,0,0,0.7272727272727273,0.7142857142857143,0.5194805194805195,25.0,25.7981220657277,0.2521645021645022,53.62570560138949,79.4238276671172
20,Oregon State,2,0,pac-12,5,0,0,0.6363636363636364,0.8333333333333334,0.5303030303030303,36.5,29.577464788732392,0.10606060606060602,49.815458098132865,79.39292288686526
21,Rutgers,2,0,big ten,3,1,0,0.8181818181818181,0.9285714285714286,0.7597402597402597,23.0,25.140845070422536,0.27272727272727276,54.16196265740339,79.30280772782594
