,Team Name,W,L,Conf.,Conf. Rank,Conf. W,Conf. L,C,c,Cc,N_raw,N_adj,SOR_raw,SOR_adj,SPI
1,Indiana,16,0,big ten,1,11,0,1.0,0.9444444444444444,0.9444444444444444,29.9375,35.0,7.456073338426278,65.0,100.0
2,Oregon,13,2,big ten,1,8,2,1.0,1.0,1.0,19.066666666666666,28.375770765324624,5.246753246753247,56.82949974555023,85.20527051087485
3,Texas Tech,12,2,big 12,3,9,1,0.8181818181818181,0.9375,0.7670454545454545,27.642857142857142,33.60174102285092,3.684003496503496,51.05014378885502,84.65188481170594
4,Ohio State,12,2,big ten,1,9,1,1.0,0.8888888888888888,0.8888888888888888,24.142857142857142,31.468988030467898,4.134186891539834,52.715010531142276,84.18399856161017
5,Miami,13,3,acc,4,6,2,0.7272727272727273,0.8235294117647058,0.5989304812834224,16.125,26.58324265505985,4.315189712248536,53.38439456391803,79.96763721897788
6,Georgia,12,2,sec,2,8,2,0.9090909090909091,1.0,0.9090909090909091,14.49999999999999,25.593035908596292,4.214094728800611,53.01052543055974,78.60356133915603
7,Notre Dame,10,2,fbs independents,5,0,0,0.6363636363636364,1.0,0.6363636363636364,24.416666666666668,31.63583605368154,2.5705160852219677,46.932248327942894,78.56808438162443
8,Utah,11,2,big 12,3,7,2,0.8181818181818181,0.8125,0.6647727272727272,22.384615384615373,30.397589352975636,2.871212121212121,48.04428141351952,78.44187076649516
9,Ole Miss,13,2,sec,2,8,1,0.9090909090909091,0.9375,0.8522727272727273,15.866666666666667,26.42582517228872,3.4917876241405654,50.33929168554512,76.76511685783383
10,BYU,12,2,big 12,3,8,2,0.8181818181818181,0.875,0.7159090909090908,12.285714285714286,24.24374319912949,3.7313311688311686,51.225170830094186,75.46891402922368
11,Oklahoma,10,3,sec,2,6,3,0.9090909090909091,0.625,0.5681818181818181,10.76923076923077,23.31966183979242,2.8830475080475075,48.08805100196191,71.40771284175432
12,North Texas,12,2,american athletic,6,7,2,0.5454545454545454,0.7857142857142857,0.42857142857142855,18.571428571428573,28.073993471164307,1.5205627705627702,43.04931445298452,71.12330792414883
13,Alabama,11,4,sec,2,8,2,0.9090909090909091,0.875,0.7954545454545454,10.333333333333334,23.054044250997464,2.830245734657498,47.89277965828269,70.94682390928016
14,James Madison,12,2,sun belt,8,9,0,0.36363636363636365,0.9285714285714286,0.33766233766233766,18.714285714285715,28.161044613710555,1.4207410236822005,42.68015399888766,70.84119861259822
