,Team Name,W,L,Conf.,Conf. Rank,Conf. W,Conf. L,C,c,Cc,N_raw,N_adj,SOR_raw,SOR_adj,SPI
1,Georgia,15,0,sec,1,9,0,1.0,1.0,1.0,19.1469696969697,35.0,6.653679653679653,65.0,100.0
2,Michigan,13,1,big ten,3,10,0,0.8181818181818181,1.0,0.8181818181818181,14.051489146895499,31.955788210454067,4.541125541125541,55.71292636510028,87.66871457555435
3,Alabama,11,2,sec,1,6,2,1.0,0.8571428571428572,0.8571428571428572,14.369057908383752,32.14551449008827,4.116883116883117,53.84789928268189,85.99341377277015
4,Tennessee,11,2,sec,1,6,2,1.0,0.9285714285714286,0.9285714285714286,18.652883010145114,34.70481596341935,3.41991341991342,50.783926218708835,85.48874218212819
5,TCU,13,2,big 12,2,9,1,0.9090909090909091,1.0,0.9090909090909091,1.2962199312714784,24.33536055040352,4.862947658402204,57.12769992414261,81.46306047454614
6,Ohio State,11,2,big ten,3,8,1,0.8181818181818181,0.9285714285714286,0.7597402597402597,17.05685618729097,33.75129575608712,2.7067099567099566,47.648587322500376,81.3998830785875
7,Penn State,11,2,big ten,3,7,2,0.8181818181818181,0.8571428571428572,0.7012987012987013,10.980148883374696,30.120866038141777,2.7705627705627704,47.929292929292934,78.05015896743471
8,LSU,10,4,sec,1,6,3,1.0,0.7857142857142857,0.7857142857142857,7.284679089026914,27.91306785202161,3.1225895316804406,49.47685018831264,77.38991804033424
9,Florida State,10,3,acc,4,5,3,0.7272727272727273,0.8571428571428572,0.6233766233766235,11.137772675086108,30.21503580296088,1.8766233766233766,43.99941443419704,74.21445023715792
10,Tulane,12,2,american athletic,7,8,1,0.4545454545454546,1.0,0.4545454545454546,7.873015873015872,28.264560072714445,2.0768398268398265,44.879593031766944,73.14415310448139
11,Kansas State,10,4,big 12,2,8,2,0.9090909090909091,0.9,0.8181818181818181,1.254108723135273,24.310201895587657,2.75974025974026,47.88171570780266,72.19191760339032
12,Washington,11,2,pac-12,5,7,2,0.6363636363636364,0.8333333333333334,0.5303030303030303,8.396839594514015,28.577510015896003,1.458874458874459,42.16293368467281,70.74044370056882
