,Team Name,W,L,Conf.,Conf. Rank,Conf. W,Conf. L,C,c,Cc,N_raw,N_adj,SOR_raw,SOR_adj,SPI
1,Georgia,14,1,sec,2,9,1,0.9090909090909091,1.0,0.9090909090909091,19.372020725388598,35.0,4.987012987012987,65.0,100.0
2,Alabama,13,2,sec,2,8,2,0.9090909090909091,0.9285714285714286,0.8441558441558441,9.584615384615386,28.889475763759275,4.909090909090908,64.65725333958284,93.54672910334212
3,Baylor,12,2,big 12,1,8,2,1.0,1.0,1.0,4.230732021928409,25.546911222223674,4.510389610389611,62.90353292711507,88.45044414933874
4,Oklahoma State,12,2,big 12,1,8,2,1.0,0.9,0.9,3.8727422003283962,25.323409139184207,4.527194018103109,62.97744849479089,88.3008576339751
5,Cincinnati,13,1,american athletic,6,9,0,0.5454545454545454,1.0,0.5454545454545454,15.088593576965668,32.32574829658153,2.658992522628886,54.76001075910263,87.08575905568416
6,Ohio State,11,2,big ten,3,8,1,0.8181818181818181,0.9285714285714286,0.7597402597402597,14.322714322714324,31.847590543612945,2.566804407713498,54.3545137631293,86.20210430674224
7,Oklahoma,11,2,big 12,1,7,2,1.0,0.8,0.8,5.950635978195031,26.620690680911466,3.274085005903187,57.4655455717238,84.08623625263526
8,Notre Dame,11,2,fbs independents,8,0,0,0.36363636363636365,0.4285714285714286,0.15584415584415587,6.117568021498149,26.7249105697271,2.4684769775678865,53.92201248482008,80.64692305454719
9,Louisiana,13,1,sun belt,7,9,0,0.4545454545454546,1.0,0.4545454545454546,8.128899835796386,27.980635797248986,1.9826839826839833,51.78521209280525,79.76584789005423
10,Pittsburgh,11,3,acc,4,8,1,0.7272727272727273,1.0,0.7272727272727273,9.669950738916256,28.94275277973116,1.664502164502165,50.3856632294352,79.32841600916636
11,Ole Miss,10,3,sec,2,6,2,0.9090909090909091,0.8571428571428572,0.7792207792207793,2.3045310853530037,24.344335350784007,2.5123966942148765,54.115196966146115,78.45953231693012
12,Michigan State,11,2,big ten,3,7,2,0.8181818181818181,0.8571428571428572,0.7012987012987013,-0.8833147528799712,22.354082717149563,2.6623376623376624,54.774724630888215,77.12880734803778
13,Coastal Carolina,11,2,sun belt,7,6,2,0.4545454545454546,0.8,0.3636363636363637,14.702429149797572,32.08465609602102,0.316883116883117,44.45805015233185,76.54270624835287
14,Clemson,10,3,acc,4,6,2,0.7272727272727273,0.7857142857142857,0.5714285714285714,0.35042735042735096,23.124339057931135,2.31038961038961,53.22665221467073,76.35099127260186
15,Wake Forest,11,3,acc,4,7,3,0.7272727272727273,0.9285714285714286,0.6753246753246753,5.6114982578397195,26.408958440598344,1.5000000000000002,49.662086946332316,76.07104538693066
16,Houston,12,2,american athletic,6,8,1,0.5454545454545454,0.9090909090909091,0.4958677685950413,7.064029595902108,27.31581042394822,1.2630460448642262,48.61982551079106,75.93563593473928
17,Kentucky,10,3,sec,2,5,3,0.9090909090909091,0.7857142857142857,0.7142857142857143,2.8846153846153832,24.7064966229793,1.7597402597402596,50.8045758143895,75.51107243736881
18,Arkansas,0,0,sec,2,0,0,0.9090909090909091,0.1428571428571429,0.1298701298701299,0.0,22.905558416558538,1.8766233766233769,51.31869580501524,74.22425422157377
19,Michigan,12,2,big ten,3,9,1,0.8181818181818181,1.0,0.8181818181818181,10.70188195038494,29.587013486043592,0.0,43.06421373330209,72.65122721934569
20,Air Force,10,3,mountain west,5,6,2,0.6363636363636364,0.75,0.4772727272727273,6.315136476426797,26.84825754373346,0.6139315230224323,45.76464196689179,72.61289951062525
21,NC State,9,3,acc,4,6,2,0.7272727272727273,0.8571428571428572,0.6233766233766235,2.9708228379512995,24.76031811239481,0.8589138134592682,46.84221669471845,71.60253480711326
22,San Diego State,12,2,mountain west,5,7,2,0.6363636363636364,0.9166666666666666,0.5833333333333333,-4.904513241327866,19.843546986087848,1.9025974025974026,51.43294469182095,71.27649167790881
23,BYU,10,3,fbs independents,8,0,0,0.36363636363636365,0.2857142857142857,0.10389610389610389,2.8890876565295196,24.709288775237322,0.4487406532861078,45.03803635724483,69.74732513248215
24,Fresno State,10,3,mountain west,5,6,2,0.6363636363636364,0.8333333333333334,0.5303030303030303,5.012406947890821,26.03493061180151,-0.09199134199134251,42.6595822591985,68.69451287100001
25,Kansas State,8,5,big 12,1,4,5,1.0,0.6,0.6,-1.960893854748603,21.681322880484352,0.7290043290043289,46.27079915631592,67.95212203680026
26,Utah State,11,3,mountain west,5,7,2,0.6363636363636364,1.0,0.6363636363636364,0.23308270676691922,23.05107783454101,0.4004329004329006,44.825550738223576,67.87662857276459
27,Army,9,4,fbs independents,8,3,0,0.36363636363636365,1.0,0.36363636363636365,6.875157629255991,27.19789288711855,-0.6858520267611175,40.047437256322304,67.24533014344085
28,Iowa State,7,6,big 12,1,5,4,1.0,0.7,0.7,1.186921186921186,23.646583277251246,0.12034632034632065,43.59356690883526,67.2401501860865
29,Purdue,9,4,big ten,3,6,3,0.8181818181818181,0.5714285714285714,0.46753246753246747,-4.726495726495727,19.95468781463058,0.8896103896103895,46.97723810639794,66.93192592102852
30,Wisconsin,9,4,big ten,3,6,3,0.8181818181818181,0.7142857142857143,0.5844155844155844,-1.680652680652683,21.856284520130757,0.37337662337662403,44.70654148113429,66.56282600126504
31,Miami (OH),7,6,mid-american,10,5,3,0.18181818181818177,0.6666666666666667,0.12121212121212119,-0.17307692307692335,22.79750212417329,0.0,43.06421373330209,65.86171585747537
32,Texas A&M,8,4,sec,2,4,4,0.9090909090909091,0.7142857142857143,0.6493506493506493,-0.3712121212121211,22.673801318075707,-0.0032467532467532756,43.04993262245137,65.72373394052708
33,UTSA,12,2,conference usa,11,8,1,0.09090909090909094,1.0,0.09090909090909094,1.305647840531563,23.720707324341813,-0.2444903581267217,41.98880281014978,65.7095101344916
34,UCF,9,4,american athletic,6,5,3,0.5454545454545454,0.8181818181818181,0.44628099173553715,4.921223354958292,25.97800239281373,-0.8780007870916964,39.20225515052091,65.18025754333465
35,Tennessee,7,6,sec,2,4,4,0.9090909090909091,0.6428571428571428,0.5844155844155844,2.073761854583772,24.200260294270343,-0.502164502164502,40.85540192172486,65.05566221599521
36,Minnesota,9,4,big ten,3,6,3,0.8181818181818181,0.6428571428571428,0.5259740259740259,-0.06902161282827102,22.862466481226647,-0.20952380952380967,42.142606046402626,65.00507252762927
37,Miami,7,5,acc,4,5,3,0.7272727272727273,0.7142857142857143,0.5194805194805195,-1.7127139364303208,21.836267868765823,0.0,43.06421373330209,64.90048160206791
38,Utah,10,4,pac-12,9,9,1,0.2727272727272727,1.0,0.2727272727272727,5.693675889328064,26.46026401050199,-1.0984848484848486,38.23243789547692,64.69270190597891
39,SMU,8,4,american athletic,6,4,4,0.5454545454545454,0.5454545454545454,0.29752066115702475,4.877259580621835,25.950554698634715,-1.0866587957497051,38.284455759848306,64.23501045848302
40,App State,10,4,sun belt,7,7,2,0.4545454545454546,0.9,0.4090909090909091,1.4979296066252594,23.840753685046625,-0.6097992916174733,40.381961458976924,64.22271514402355
41,West Virginia,0,0,big 12,1,0,0,1.0,0.09999999999999998,0.09999999999999998,0.0,22.905558416558538,-0.47012987012986995,40.99630888211858,63.90186729867713
42,Oregon,10,4,pac-12,9,7,3,0.2727272727272727,0.9166666666666666,0.24999999999999997,-1.5974025974025992,21.908259648743194,-0.25086580086580135,41.96075990157019,63.86901955031339
43,Iowa,10,4,big ten,3,7,3,0.8181818181818181,0.7857142857142857,0.6428571428571428,-14.773519163763066,13.682077446717633,1.523593073593073,49.765863018514175,63.44794046523181
44,Memphis,6,6,american athletic,6,3,5,0.5454545454545454,0.4545454545454546,0.24793388429752067,-6.0907202216066505,19.10296802263206,0.0,43.06421373330209,62.16718175593415
45,Texas Tech,7,6,big 12,1,3,6,1.0,0.4,0.4,-7.437329168293635,18.262246062217233,0.12184179456906685,43.600144875045274,61.862390937262504
46,Liberty,8,5,fbs independents,8,1,1,0.36363636363636365,0.7142857142857143,0.25974025974025977,9.330927653582114,28.7310921089557,-2.3311688311688314,32.81037614248887,61.54146825144456
47,Maryland,7,6,big ten,3,3,6,0.8181818181818181,0.3571428571428571,0.29220779220779214,-7.824146981627299,18.0207459361789,0.0,43.06421373330209,61.08495966948099
48,Nevada,8,5,mountain west,5,5,3,0.6363636363636364,0.5833333333333333,0.37121212121212116,-1.299403183023875,22.09430820610302,-0.9595238095238097,38.84366943988751,60.937977645990536
49,Boise State,7,5,mountain west,5,5,3,0.6363636363636364,0.6666666666666667,0.4242424242424243,-4.66666666666667,19.992040607060048,-0.4816410861865408,40.94567585273878,60.93771645979883
50,Mississippi State,7,6,sec,2,4,4,0.9090909090909091,0.5714285714285714,0.5194805194805194,-3.6353276353276365,20.63593160036802,-0.6832349468713104,40.058948697189855,60.69488029755787
51,UCLA,8,4,pac-12,9,6,3,0.2727272727272727,0.8333333333333334,0.22727272727272727,2.8173515981735164,24.66450214303659,-1.6028138528138536,36.01410534333255,60.67860748636915
