rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
1,Georgia,sec,15,0,100.0,1.0,1.0
2,Michigan,big ten,13,1,87.66871457555435,0.9130225202986876,0.8571219440784659
3,Alabama,sec,11,2,85.99341377277015,0.9184432711453792,0.8284292197335675
4,Tennessee,sec,11,2,85.48874218212819,0.99156617038341,0.7812911725955205
5,TCU,big 12,13,2,81.46306047454614,0.6952960157258149,0.8788876911406556
6,Ohio State,big ten,11,2,81.3998830785875,0.9643227358882033,0.7330551895769288
7,Penn State,big ten,11,2,78.05015896743471,0.8605961725183365,0.7373737373737375
8,LSU,sec,10,4,77.38991804033424,0.7975162243434746,0.7611823105894252
9,Florida State,acc,10,3,74.21445023715792,0.8632867372274537,0.676914068218416
10,Tulane,american athletic,12,2,73.14415310448139,0.8075588592204127,0.6904552774117991
11,Kansas State,big 12,10,4,72.19191760339032,0.6945771970167902,0.736641780120041
12,Washington,pac-12,11,2,70.74044370056882,0.8165002861684573,0.6486605182257356
13,Oregon,pac-12,10,3,70.24830668956112,0.772669481550043,0.6646903820816864
14,Utah,pac-12,10,4,69.42157640177093,0.8877022330990957,0.5900307422046552
15,Clemson,acc,11,3,68.9038040739814,0.7323891054049005,0.665695159766306
16,USC,pac-12,11,3,67.56134623244584,0.7741111918173692,0.6225762233667372
17,Troy,sun belt,12,2,67.47434900904017,0.6624080286730615,0.6813856616228158
18,Mississippi State,sec,9,4,67.19751650260784,0.6579216168926055,0.6795424601748713
19,Oregon State,pac-12,10,3,66.67531602530472,0.7764773355453356,0.6076709120187381
20,Texas,big 12,8,5,65.73719567798835,0.7151464277405042,0.6262626262626262
21,Ole Miss,sec,8,5,64.38465536307649,0.7313212640757016,0.5967447864681067
22,Minnesota,big ten,9,4,64.35542879727517,0.7951541674056785,0.5619235836627141
23,Notre Dame,fbs independents,9,4,62.330805832845726,0.6952915494435645,0.5845477169587842
24,UTSA,conference usa,11,3,62.081910324796,0.7157256067984553,0.5697156013361547
25,Texas Tech,big 12,8,5,61.84419572752482,0.6510254858625566,0.6008969803436207
26,Wake Forest,acc,8,5,61.696644199456465,0.7323745802810178,0.5548235983018591
27,South Carolina,sec,0,0,60.984332466931114,0.6731701452308406,0.5757442674438722
28,UCLA,pac-12,9,4,60.856205552756236,0.7623282101799689,0.5257648953301127
29,Memphis,american athletic,7,6,58.914392883782796,0.6618533901713626,0.5499926804274631
30,Air Force,mountain west,10,3,58.67427433215209,0.7960809478531752,0.47402217165063015
31,South Alabama,sun belt,0,0,58.38185845141361,0.6731701452308406,0.5357062056666799
32,James Madison,sun belt,0,0,57.90911387787854,0.6731701452308406,0.5284332122276787
