rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
1,Alabama,sec,13,0,99.54105076479716,0.9868871647084902,1.0
2,Oklahoma,big 12,9,2,81.76131439319713,0.8658920009017186,0.7916168363328765
3,Clemson,acc,10,2,80.00556688979954,0.9035389048991355,0.7443339264358431
4,Texas A&M,sec,9,1,78.21093369532439,0.7680278354343099,0.7896916839249775
5,Ohio State,big ten,7,1,78.02029131400859,0.8348991354466859,0.7507511011288396
6,Notre Dame,fbs independents,10,2,76.58559634721385,0.7819902405369861,0.757168275821836
7,BYU,fbs independents,11,1,74.6364816381297,1.0,0.6097920252019953
8,Iowa State,big 12,9,3,74.53440120457815,0.7995761135227811,0.716142111250474
9,Cincinnati,american athletic,9,1,74.34500312158478,0.8945706051873198,0.6620774144619784
10,Georgia,sec,8,2,72.05213185666996,0.7472618552653885,0.7061225680366363
11,Coastal Carolina,sun belt,11,1,72.0249310162956,0.8660941574805185,0.641717469299653
12,Texas,big 12,7,3,70.72879961245543,0.7969655407001464,0.6590000875069277
13,Oklahoma State,big 12,8,3,69.49016928024118,0.6480879514915833,0.720109091969781
14,Florida,sec,8,4,68.39707133556729,0.7317260921466727,0.6582562786220577
15,Buffalo,mid-american,6,1,68.00144152189516,0.9143002318476307,0.553860513957355
16,Miami,acc,8,3,67.99898624310158,0.6963003282528626,0.6712073039115598
17,Louisiana,sun belt,0,0,67.62115738965741,0.716057636887608,0.6547560015167868
18,Northwestern,big ten,7,2,66.80084420818633,0.7418615156943688,0.6282414024443603
19,North Carolina,acc,8,4,66.61859857579742,0.8157440922190201,0.585654697663565
20,Ball State,mid-american,7,1,65.02389337745747,0.7100513262794758,0.6180322608873203
21,Iowa,big ten,6,2,63.68530396320323,0.7471035421725022,0.5774873844179331
22,Indiana,big ten,6,2,63.55910818848044,0.7061199895205659,0.5976139777732404
23,San José State,mountain west,0,0,61.18618962137576,0.716057636887608,0.5557564973893767
24,TCU,big 12,6,4,60.78904292084506,0.6354259365994236,0.5930636175363884
25,Ohio,mid-american,2,1,60.6485905141245,0.7936008505637783,0.5057317037598811
26,Wisconsin,big ten,4,3,60.17871086354681,0.7541736591938322,0.5197328121809645
27,West Virginia,big 12,6,4,59.98819334690633,0.6636277309553585,0.5655572732841351
28,Kent State,mid-american,0,0,59.52720411835678,0.716057636887608,0.5302336434967769
29,Kentucky,sec,0,0,59.52720411835678,0.716057636887608,0.5302336434967769
30,Liberty,fbs independents,0,0,59.52720411835678,0.716057636887608,0.5302336434967769
31,Old Dominion,conference usa,0,0,59.52720411835678,0.716057636887608,0.5302336434967769
32,UConn,american athletic,0,0,59.52720411835678,0.716057636887608,0.5302336434967769
33,Toledo,mid-american,4,2,59.32708569063351,0.7501556195965419,0.508794446226993
34,USC,pac-12,5,1,59.18720231610075,0.7290951008645533,0.5179826736283291
35,Western Michigan,mid-american,4,2,58.89937522676358,0.720871469740634,0.5179826736283291
36,NC State,acc,8,4,58.84505559135299,0.6429384333246004,0.5591109296152612
37,Arizona State,pac-12,2,2,58.69076842452551,0.8713299085327653,0.43375725578274954
38,Ole Miss,sec,5,5,57.64875670981014,0.7078913132976533,0.5057317037598811
39,Tulsa,american athletic,6,3,57.63505016270789,0.6752408938441914,0.5231018288947876
40,UCF,american athletic,6,4,57.56001610982098,0.7740175533004631,0.4687600268354579
41,Miami (OH),mid-american,2,1,57.30637666807381,0.6241656725420549,0.5455473558323368
42,Army,fbs independents,9,3,57.24068191819287,0.7745903202348569,0.46353878015342886
43,Marshall,conference usa,7,3,57.10967010399726,0.8633440315486122,0.41373275384301267
44,Washington,pac-12,3,1,56.69311392735399,0.7147149355752971,0.48735524895720916
45,App State,sun belt,9,3,56.53337242872746,0.7821440922190201,0.44858968001633465
46,SMU,american athletic,0,0,56.23956884723115,0.716057636887608,0.47965463932561336
47,Virginia,acc,5,5,55.71055281362841,0.6549517521050606,0.5044190998454045
48,Stanford,pac-12,0,0,55.34656065074892,0.716057636887608,0.4659160516874253
49,Auburn,sec,6,5,55.22537892999051,0.5460196147668895,0.5556106525099904
50,Nevada,mountain west,7,2,54.13402440894581,0.7003735785848791,0.4557069101303854
51,Pittsburgh,acc,6,5,53.590699006270235,0.6157820277705004,0.492897354373888
52,Memphis,american athletic,8,3,53.58182895755922,0.6434266397356478,0.47787533179710073
53,Boise State,mountain west,5,2,52.75010360974945,0.6342892162738221,0.4699997083102413
54,Oregon,pac-12,4,3,52.743310317716684,0.6786507328682528,0.44600822565119747
55,Virginia Tech,acc,5,6,52.58287892471566,0.5850911848654909,0.493918268529592
56,Air Force,mountain west,3,3,52.57617861810478,0.7667787296198334,0.3959834320217018
57,Boston College,acc,6,5,52.25111534254431,0.5812460047157454,0.49088469503835724
58,Colorado,pac-12,4,2,52.13957274347722,0.5975064462308509,0.48041303269842206
59,LSU,sec,5,5,51.9875384123049,0.5006386167146973,0.5302336434967769
60,UAB,conference usa,6,3,51.3609874287283,0.7086300432276658,0.40859901408861543
61,Central Michigan,mid-american,3,3,50.97570729687999,0.596864062787418,0.46285330922031337
62,Wake Forest,acc,4,5,50.91811909701257,0.6130951008645533,0.45322754718081854
63,Maryland,big ten,2,3,50.79085143431327,0.5298275777853759,0.4961059417203863
64,Utah,pac-12,3,2,50.003083149580775,0.5832946771761741,0.4551964530525334
65,Missouri,sec,5,5,49.87050611308886,0.5214084123951689,0.48648017968089147
66,Texas Tech,big 12,4,6,49.661557874754855,0.5342899551382988,0.4763293760756061
67,Penn State,big ten,4,5,49.48735732683115,0.645346982665921,0.4138494297465217
68,Minnesota,big ten,3,4,49.2008899256184,0.6550386149903328,0.4042236677070269
69,Kansas State,big 12,4,6,49.16133502462368,0.5097595631730625,0.48184231251640763
70,Fresno State,mountain west,3,3,48.37449927472623,0.7083502099211516,0.362803721961322
71,Arkansas,sec,3,7,48.354789396844026,0.50085402168672,0.47422920981244354
72,Michigan,big ten,2,4,47.622756957155545,0.5644454992371589,0.4287256074439227
73,Purdue,big ten,2,4,47.38763444012363,0.5772292569084705,0.4182247761281102
74,Georgia State,sun belt,6,4,47.32536127173391,0.6359318950073993,0.38565761456115283
75,South Carolina,sec,0,0,46.9568339640529,0.716057636887608,0.33684333343056333
76,Tulane,american athletic,6,6,46.503805632344964,0.7372145865661717,0.3184814631158301
77,Louisville,acc,4,7,45.929015128713516,0.6828994175852966,0.33888516174197125
78,Louisiana Tech,conference usa,0,0,45.796492103655616,0.716057636887608,0.3189919201936821
79,Eastern Michigan,mid-american,2,4,45.77485678984333,0.5790911908244392,0.39241023247673784
80,Mississippi State,sec,4,7,45.541421293502985,0.4902171806977742,0.43667415337047527
81,UCLA,pac-12,3,4,45.4195089003624,0.6855413750514615,0.32962401190094226
82,Nebraska,big ten,3,5,44.731436647375574,0.48996199080925307,0.4243502610623342
83,Georgia Southern,sun belt,8,5,44.41952061286536,0.6396084899811759,0.33897266866960307
84,San Diego State,mountain west,4,4,44.39262185404319,0.6201780599482146,0.3490213808593181
85,Tennessee,sec,3,7,44.32356733210215,0.5238121841699618,0.3998483213254383
86,Baylor,big 12,2,7,43.985077757176434,0.4847262247838616,0.4156870752267888
87,Florida State,acc,3,6,43.55038313996208,0.5271815561959654,0.3861389026631275
88,Houston,american athletic,3,5,43.53708342604501,0.5701383285302594,0.362803721961322
89,Florida Atlantic,conference usa,5,4,43.525421645309535,0.6272534327852177,0.33187002304349106
90,Washington State,pac-12,1,3,43.388085469190266,0.5279615754082614,0.3832220050754019
91,California,pac-12,1,3,43.38388190239146,0.559125200128082,0.366376921506286
92,Hawai'i,mountain west,5,4,43.151148770483644,0.6065112098861916,0.33728086806872215
93,Rice,conference usa,2,3,43.01867513792526,0.5848498337397473,0.34690663010821693
94,UTSA,conference usa,7,5,42.2115288664479,0.6434241411848716,0.30294898346119076
95,Wyoming,mountain west,2,4,42.024431393226145,0.6368867380784079,0.30359070093049034
96,Michigan State,big ten,2,5,40.49713656653919,0.34948044462741856,0.43485109237814673
97,Charlotte,conference usa,2,4,40.2877164959357,0.5861287223823247,0.30420324942391286
98,Rutgers,big ten,3,6,40.2314278037165,0.532028818443804,0.3324679870489748
99,Georgia Tech,acc,3,7,40.211880000067765,0.531470309768126,0.33246798704897473
100,Troy,sun belt,5,6,39.56527318622252,0.6023779054535706,0.2843391768515008
101,Colorado State,mountain west,1,3,39.054725752619156,0.44017498300035623,0.363824636117026
102,Illinois,big ten,2,6,38.61702860814283,0.4338990101491041,0.3604702038911414
103,Oregon State,pac-12,2,5,37.87723836948593,0.5980268129735987,0.2607123063909227
104,South Alabama,sun belt,0,0,37.32713411281467,0.716057636887608,0.18869410494997524
