rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
1,Indiana,big ten,16,0,100.0,1.0,1.0
2,Oregon,big ten,13,2,85.98699967204186,0.811800708851099,0.8857534594192832
3,Ohio State,big ten,12,2,85.81528022725924,0.9259912861668076,0.821624387868015
4,Texas Tech,big 12,12,2,84.04794204268366,0.9236866737677062,0.7956755147817528
5,Miami,acc,13,3,81.4436769913458,0.7817125346913423,0.8320575119561356
6,Georgia,sec,12,2,80.61484229722396,0.7688534541748213,0.8262303292477726
7,Utah,big 12,11,2,79.90984695824888,0.8924622322419564,0.7488256743043138
8,Notre Dame,fbs independents,10,2,79.40868985665563,0.9103320547293481,0.7314933529404377
9,Ole Miss,sec,13,2,77.3501436748318,0.752897131095152,0.7845960628692534
10,North Texas,american athletic,12,2,74.47142988087174,0.8816617954529361,0.6709733390772151
11,BYU,big 12,12,2,74.20368829645034,0.637355997527271,0.7984035135845515
12,Vanderbilt,sec,10,3,72.64678964726453,0.8242670518925441,0.6738068127850075
13,Texas A&M,sec,11,2,72.4054629070378,0.7522065627267588,0.7088958955630961
14,James Madison,sun belt,12,2,72.18940696839009,0.8247138699737698,0.6665295618355099
15,Alabama,sec,11,4,72.08922144650381,0.673401116230494,0.7464643442836388
16,USC,big ten,9,4,70.13310964705855,0.7074784271422768,0.6980209953396747
17,Texas,sec,10,3,69.77955646406483,0.6374912385540515,0.7302671248411232
18,Oklahoma,sec,10,3,69.44209698059642,0.5921167192596417,0.7495078739462918
19,Washington,big ten,9,4,69.28295267091242,0.7883332901946414,0.6414044232938458
20,Iowa,big ten,9,4,67.8320546772824,0.6370561161583312,0.7005398555652431
21,Navy,american athletic,11,2,67.73990933281475,0.6712597734021594,0.6807048809806024
22,Michigan,big ten,9,4,66.03072492246395,0.6401527268513748,0.6711596843487051
23,Arizona,big 12,9,4,65.69302834002899,0.6959726018691721,0.6359074965324302
24,Tulane,american athletic,11,3,65.60687847574107,0.5351123870437657,0.7211991527570656
25,TCU,big 12,9,4,65.56954828015526,0.6352002360209215,0.6667313849142001
26,Virginia,acc,11,3,65.518663732325,0.6314327654133062,0.6679771837362967
27,Illinois,big ten,9,4,64.95353582816352,0.5873080708935967,0.6830423591828867
28,Old Dominion,sun belt,10,3,64.41484114656049,0.7486156081178447,0.5878968440374759
