rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
1,Memphis,american athletic,2,0,66.61156656099763,0.046044758885646485,1.0
2,USC,big ten,2,0,39.71856116302458,0.18359652103415178,0.5121951219512194
3,Colorado,big 12,1,0,37.08057294592884,0.014968614196040559,0.5624103299856527
4,Iowa,big ten,1,0,36.55459834414858,0.5688073394495412,0.2560975609756098
5,Georgia Southern,sun belt,1,0,35.0,1.0,0.0
6,Oklahoma,sec,1,0,33.70750596760945,0.6459984283428484,0.17073170731707313
7,Penn State,big ten,1,0,30.35361535411587,0.6860614839851922,0.09756097560975611
8,Ole Miss,sec,1,0,30.203429265383058,-0.03231030137438024,0.4820659971305594
9,South Carolina,sec,1,0,29.24431504855342,0.7867713707252196,0.026266416510318955
10,Cincinnati,big 12,1,0,28.77764226487664,0.076163831056324,0.4017216642754662
11,Texas A&M,sec,1,0,27.952638645169642,0.7035248672139063,0.05121951219512193
12,Colorado State,pac-12,1,0,27.434136919833712,0.14968614196040558,0.34146341463414637
13,Maryland,big ten,1,0,27.285127957508447,0.7795750845002414,0.0
14,Kennesaw State,conference usa,1,0,26.49046611257795,0.75687046035937,0.0
15,UCLA,big ten,1,0,25.517323097933453,0.13222275873169162,0.32137733142037306
16,Florida State,acc,1,0,25.4467106388904,0.061195216860283445,0.3585365853658536
17,Duke,acc,1,0,25.136468149695833,0.038742295566222607,0.36585365853658525
18,LSU,sec,1,0,24.095795459190146,0.24081858721277014,0.24103299856527982
19,North Dakota State,mountain west,2,0,22.87735994822084,0.08290714834637956,0.3073170731707316
20,Indiana,big ten,1,0,22.68094171906693,0.24036140103257433,0.2195121951219512
21,Illinois,big ten,1,0,21.556580812065963,0.07234830194752938,0.2926829268292682
22,Oregon,big ten,1,0,21.455496308591616,-0.02113216121793963,0.3414634146341462
23,Miami,acc,1,0,19.787673298524105,0.2669402864960566,0.16068866571018653
24,Air Force,mountain west,1,0,19.168631238106055,0.5476751782316016,0.0
25,Louisiana Tech,sun belt,1,0,17.485212457749878,0.4995774987928537,0.0
26,Auburn,sec,1,0,17.463607006852154,-0.03610077541398019,0.2881097560975609
27,Nevada,mountain west,1,0,16.61266502573282,0.2844036697247706,0.10243902439024385
28,Ohio State,big ten,1,0,16.444365276583714,0.39666827619507483,0.039399624765478425
29,Kansas State,big 12,1,0,16.3368720288899,0.4667677722539971,0.0
30,Arizona State,big 12,1,0,16.240946402704004,0.4640270400772573,0.0
31,UCF,big 12,1,0,16.018467684858745,0.45767050528167846,0.0
32,Florida,sec,1,0,15.94853863028775,0.31978403055177557,0.07317073170731703
33,Virginia Tech,acc,1,0,15.756516936428033,0.4501861981836581,0.0
34,Georgia,sec,1,0,15.717044905842586,0.44905842588121675,0.0
35,Troy,sun belt,1,0,15.533050782584116,-0.031808305166586184,0.2560975609756097
36,Alabama,sec,1,0,15.395172347124245,0.1680850635763721,0.14634146341463417
37,Syracuse,acc,1,0,14.780372532666108,0.42229635807617455,0.0
38,Mississippi State,sec,1,0,14.738814758982933,0.3305166586190246,0.04878048780487802
39,Texas,sec,1,0,14.699809062290345,0.34072625195394024,0.042682926829268275
40,Pittsburgh,acc,1,0,14.274490598231568,0.3102816129111458,0.05253283302063791
41,Massachusetts,mid-american,1,0,14.045108633972273,0.013754942774739992,0.2086720867208673
42,Army,american athletic,1,0,14.00326543305862,0.4000932980873892,0.0
43,West Virginia,big 12,1,0,13.511029195275048,0.023660067600193135,0.19512195121951215
44,UConn,fbs independents,1,0,13.3594881699662,0.38169966199903427,0.0
45,Utah,big 12,1,0,13.026096308327112,0.37217418023791754,0.0
46,BYU,big 12,1,0,12.690058479532162,0.36257309941520466,0.0
47,Houston,big 12,1,0,12.518445338309665,0.040596696077140317,0.1707317073170731
48,Nebraska,big ten,1,0,12.19462142714136,0.20207629164654756,0.07879924953095686
49,Georgia State,sun belt,1,0,12.169610194043653,0.3477031484012472,0.0
50,Tennessee,sec,1,0,11.78778367938194,0.3367938194109126,0.0
51,Southern Miss,sun belt,1,0,11.52583293095123,0.3293095123128923,0.0
52,App State,sun belt,1,0,11.40676440893727,0.3259075545410649,0.0
53,Kansas,big 12,1,0,11.274154760890351,0.32211870745401006,0.0
54,James Madison,sun belt,1,0,11.221467183286027,-0.05987445678416225,0.20487804878048776
55,Washington,big ten,1,0,10.091338283614604,0.05051907291163689,0.12804878048780483
56,Notre Dame,fbs independents,1,0,9.963586055464614,0.09090694962961218,0.10433604336043364
57,Virginia,acc,1,0,9.721770961567369,0.12855398074246593,0.08034433285509326
58,Minnesota,big ten,1,0,9.58562145528648,0.2738748987224709,0.0
59,Michigan,big ten,1,0,9.544088244433311,0.02878579653084721,0.13133208255159476
60,Delaware,conference usa,1,0,9.430226943505552,0.26943505552873004,0.0
61,Missouri,sec,1,0,9.00334424235921,0.2572384069245489,0.0
62,New Mexico,mountain west,1,0,8.942045510190544,0.13353579506467758,0.06566604127579738
63,Wake Forest,acc,1,0,8.5537565959156,0.07366133828051537,0.09193245778611633
64,Tulsa,american athletic,1,0,8.534447097549197,0.06548768710767744,0.09603658536585363
65,Kentucky,sec,1,0,7.771205536777724,0.22203444390793498,0.0
66,Louisiana,sun belt,1,0,7.348407837556225,0.2099545096444636,0.0
67,Navy,american athletic,1,0,7.072670207629164,0.20207629164654756,0.0
68,Arizona,big 12,1,0,6.810719459198454,0.19459198454852727,0.0
69,North Carolina,acc,1,0,6.547205799798219,-0.169644294221793,0.19207317073170727
70,Iowa State,big 12,1,0,6.300604843833388,0.1800172812523825,0.0
71,Rice,american athletic,1,0,5.8051665861902455,0.16586190246257845,0.0
72,San Diego State,pac-12,1,0,5.402116378014449,0.15434618222898427,0.0
73,Old Dominion,sun belt,1,0,4.4954128440366965,0.12844036697247704,0.0
74,UTSA,american athletic,1,0,4.162106336176833,0.11891732389076666,0.0
75,South Florida,american athletic,1,0,4.073232716113278,-0.16898777605530002,0.15365853658536582
76,Arkansas,sec,1,0,3.1856591018831475,0.09101883148237565,0.0
77,Middle Tennessee,conference usa,1,0,3.1020483366794567,0.08862995247655592,0.0
78,South Alabama,sun belt,1,0,2.3306899924475974,0.06659114264135993,0.0
79,Michigan State,big ten,1,0,2.2014717370737222,-0.13222275873169162,0.10506566604127582
80,Northwestern,big ten,1,0,1.617931093248501,0.04622660266424288,0.0
81,Purdue,big ten,1,0,1.5240770817786746,0.043545059479390705,0.0
82,Texas Tech,big 12,1,0,1.2621263333479646,0.03606075238137042,0.0
83,Buffalo,mid-american,1,0,0.5239014968614195,0.014968614196040559,0.0
84,SMU,acc,0,0,0.0,0.0,0.0
85,Temple,american athletic,1,0,-0.09650817047447104,-0.002757376299270601,0.0
86,Vanderbilt,sec,1,0,-1.5717044905842588,-0.04490584258812168,0.0
87,North Texas,american athletic,0,1,-16.535640994688553,-0.4724468855625301,0.0
88,Texas State,pac-12,0,1,-39.11485261038028,-0.4041525832930951,-0.38414634146341464
89,Ball State,mid-american,0,1,-40.54461272521947,-0.7708836310960888,-0.2086720867208673
90,San José State,mountain west,1,1,-40.665400067309335,-0.12257318039776606,-0.5596205962059618
91,Stanford,acc,1,1,-41.333478329711966,-0.23906269300304311,-0.5071736011477762
92,Kent State,mid-american,0,1,-45.80031591902108,-0.7933365523901497,-0.2774390243902438
93,Tulane,american athletic,0,1,-50.05753082639469,-0.4789956542732979,-0.5121951219512194
94,Marshall,sun belt,0,1,-52.01269237463016,-0.7110091743119266,-0.41734417344173436
95,Ohio,mid-american,0,1,-52.129572925376756,-0.3268147432802189,-0.6260162601626014
96,NC State,acc,0,1,-52.18535783488177,-0.241368903911154,-0.6728837876614059
97,Northern Illinois,mountain west,0,1,-57.746732199335504,-0.6810719459198454,-0.521680216802168
98,UTEP,mountain west,0,1,-58.62446414481044,-0.7633993239980685,-0.4908536585365853
99,UL Monroe,sun belt,0,1,-64.65804296897294,-0.5394458269880771,-0.7042682926829268
100,Missouri State,conference usa,0,1,-65.56043975456654,-0.7633993239980685,-0.5975609756097561
101,California,acc,0,1,-68.17474326059049,-0.20394736842105263,-0.9390243902439023
102,Fresno State,pac-12,0,1,-70.26261484246903,-0.6511347175277643,-0.730352303523035
103,Miami (OH),mid-american,0,1,-70.93042403568582,-0.3293095123128923,-0.9139167862266858
104,New Mexico State,conference usa,1,1,-71.02042831005751,-0.03345925526173772,-1.0746054519368722
105,Florida Atlantic,american athletic,0,1,-71.43717392328438,-0.3367938194109126,-0.9176829268292682
106,Akron,mid-american,0,1,-72.28903213191391,-0.21891598261709316,-0.9942611190817792
107,UNLV,mountain west,1,1,-77.29683138815938,0.033679381941091255,-1.207317073170732
108,UAB,american athletic,0,1,-77.65866499489633,-0.281149623160414,-1.043360433604336
109,TCU,big 12,0,1,-80.04880023166123,-0.1422018348623853,-1.1549497847919654
110,Clemson,acc,0,1,-81.25460776577827,-0.4191211974891356,-1.0243902439024388
111,Western Kentucky,conference usa,0,1,-82.08827478183036,-0.2844036697247706,-1.1097560975609753
112,Jacksonville State,conference usa,1,1,-83.03524425575014,0.00561323032351521,-1.2804878048780488
113,Boston College,acc,0,1,-84.22675777186309,-0.16714952518911957,-1.2057926829268293
114,Liberty,conference usa,0,1,-85.56159933976116,-0.22510492887122532,-1.195121951219512
115,Oklahoma State,big 12,0,1,-87.1268151358481,-0.22452921294060837,-1.219512195121951
116,Oregon State,pac-12,0,1,-87.36938529754684,-0.07858522452921292,-1.3018292682926829
117,Washington State,pac-12,0,1,-88.71673477719806,-0.2095605987445678,-1.252032520325203
118,Arkansas State,sun belt,0,1,-89.85279439648573,-0.16652583293095122,-1.2926829268292683
119,Toledo,mid-american,0,1,-89.866636504366,-0.048647996137131805,-1.3563685636856366
120,East Carolina,american athletic,0,1,-93.81680524313694,-0.38169966199903427,-1.2378048780487805
121,Florida International,conference usa,0,1,-94.04860841220676,-0.1505177316379634,-1.3658536585365852
122,Eastern Michigan,mid-american,1,1,-94.69180965952584,-0.034748568669379885,-1.4380863039399623
123,Coastal Carolina,sun belt,0,1,-94.85602940137319,-0.11413568324480926,-1.3978658536585364
124,Wisconsin,big ten,0,1,-96.61134554461097,-0.3822753779296512,-1.2804878048780488
125,Central Michigan,mid-american,0,1,-96.90096100623005,-0.23201352003862866,-1.3658536585365852
