team,conference,N_raw,N_adj,ave_margin,points,wins,losses
Air Force,mountain west,73.17647058823529,0.6961046100683264,34.0,34.0,1,0
Akron,mid-american,-29.25,-0.278245994659546,-22.0,16.0,0,1
Alabama,sec,22.458333333333332,0.21363901869158877,38.0,48.0,1,0
App State,sun belt,43.54545454545455,0.4142341303556257,52.0,55.0,1,0
Arizona,big 12,26.0,0.2473297730307076,28.0,35.0,1,0
Arizona State,big 12,62.0,0.5897863818424566,63.0,70.0,1,0
Arkansas,sec,12.161290322580644,0.11568650674016967,17.0,31.0,1,0
Arkansas State,sun belt,-22.25,-0.2116572096128171,-18.0,24.0,0,1
Army,american athletic,53.45762711864407,0.5085254916159399,56.0,59.0,1,0
Auburn,sec,-4.823529411764708,-0.045884709023796454,1.0,17.0,1,0
Ball State,mid-american,-103.0,-0.9798064085447262,-53.0,3.0,0,1
Baylor,big 12,-10.25,-0.09750500667556743,-1.0,16.0,0,1
Boise State,pac-12,-17.11111111111111,-0.16277258566978192,-7.0,27.0,0,1
Boston College,acc,-22.333333333333332,-0.21244993324432576,-19.0,15.0,0,1
Bowling Green,mid-american,-31.076923076923077,-0.2956249358118517,-7.0,13.0,0,1
Buffalo,mid-american,2.0,0.019025367156208277,4.0,21.0,1,0
BYU,big 12,48.44444444444444,0.4608366711170449,56.0,63.0,1,0
California,acc,-27.25,-0.2592206275033378,-21.0,24.0,0,1
Central Michigan,mid-american,-31.0,-0.2948931909212283,-31.0,7.0,0,1
Charlotte,american athletic,1.2195121951219523,0.011600833631834326,-2.0,41.0,0,1
Cincinnati,big 12,10.176470588235292,0.09680554464776563,19.0,34.0,1,0
Clemson,acc,-56.0,-0.5327102803738317,-41.0,10.0,0,1
Coastal Carolina,sun belt,-15.25,-0.14506842456608812,-7.0,24.0,0,1
Colorado,big 12,2.0,0.019025367156208277,1.0,14.0,1,0
Colorado State,pac-12,20.0,0.19025367156208278,22.0,35.0,1,0
Delaware,conference usa,36.0,0.342456608811749,35.0,42.0,1,0
Duke,acc,5.176470588235292,0.04924212675724493,14.0,17.0,1,0
East Carolina,american athletic,-51.0,-0.48514686248331107,-38.0,10.0,0,1
Eastern Michigan,mid-american,-4.642857142857145,-0.04416603089834066,2.5,49.0,1,1
Florida,sec,42.72727272727273,0.4064510256099041,45.0,66.0,1,0
Florida Atlantic,american athletic,-45.0,-0.4280707610146862,-45.0,21.0,0,1
Florida International,conference usa,-20.11111111111111,-0.19131063640409435,-10.0,9.0,0,1
Florida State,acc,-2.258620689655171,-0.021485543943648988,7.0,58.0,1,1
Fresno State,pac-12,-87.0,-0.8276034712950601,-39.0,0.0,0,1
Georgia,sec,60.0,0.5707610146862483,60.0,63.0,1,0
Georgia Southern,sun belt,75.16129032258064,0.7149855721607303,31.0,31.0,1,0
Georgia State,sun belt,46.45762711864407,0.4419367065692109,49.0,59.0,1,0
Georgia Tech,acc,-52.0,-0.4946595460614152,-1.0,13.0,0,1
Hawai'i,mountain west,-20.075757575757585,-0.19097432940890893,-12.5,33.0,0,2
Houston,big 12,5.424242424242426,0.051599101832746706,13.0,33.0,1,0
Illinois,big ten,9.666666666666668,0.09195594125500668,19.0,42.0,1,0
