team,conference,SOR_raw,SOR_adj,wins,losses
Air Force,mountain west,0.0,0.0,1,0
Akron,mid-american,-0.5721925133689839,-1.0746054519368722,0,1
Alabama,sec,0.07792207792207795,0.14634146341463417,1,0
App State,sun belt,0.0,0.0,1,0
Arizona,big 12,0.0,0.0,1,0
Arizona State,big 12,0.0,0.0,1,0
Arkansas,sec,0.0,0.0,1,0
Arkansas State,sun belt,-0.6883116883116884,-1.2926829268292683,0,1
Army,american athletic,0.0,0.0,1,0
Auburn,sec,0.15340909090909088,0.2881097560975609,1,0
Ball State,mid-american,-0.11111111111111116,-0.2086720867208673,0,1
Baylor,big 12,-0.9431818181818182,-1.771341463414634,0,1
Boise State,pac-12,-0.7777777777777778,-1.4607046070460703,0,1
Boston College,acc,-0.6420454545454546,-1.2057926829268293,0,1
Bowling Green,mid-american,-1.0,-1.8780487804878045,0,1
Buffalo,mid-american,0.0,0.0,1,0
BYU,big 12,0.0,0.0,1,0
California,acc,-0.5,-0.9390243902439023,0,1
Central Michigan,mid-american,-0.7272727272727273,-1.3658536585365852,0,1
Charlotte,american athletic,-1.0,-1.8780487804878045,0,1
Cincinnati,big 12,0.2566844919786096,0.4820659971305594,1,0
Clemson,acc,-0.5454545454545454,-1.0243902439024388,0,1
Coastal Carolina,sun belt,-0.7443181818181819,-1.3978658536585364,0,1
Colorado,big 12,0.3422459893048128,0.6427546628407459,1,0
Colorado State,pac-12,0.18181818181818185,0.34146341463414637,1,0
Delaware,conference usa,0.0,0.0,1,0
Duke,acc,0.19480519480519476,0.36585365853658525,1,0
East Carolina,american athletic,-0.6590909090909092,-1.2378048780487805,0,1
Eastern Michigan,mid-american,-0.7657342657342657,-1.4380863039399623,1,1
Florida,sec,0.03896103896103894,0.07317073170731703,1,0
Florida Atlantic,american athletic,-0.48863636363636365,-0.9176829268292682,0,1
Florida International,conference usa,-0.7272727272727273,-1.3658536585365852,0,1
Florida State,acc,-0.2101604278074867,-0.3946915351506457,1,1
Fresno State,pac-12,-0.38888888888888884,-0.730352303523035,0,1
Georgia,sec,0.0,0.0,1,0
Georgia Southern,sun belt,0.0,0.0,1,0
Georgia State,sun belt,0.0,0.0,1,0
Georgia Tech,acc,-0.7954545454545454,-1.49390243902439,0,1
Hawai'i,mountain west,-1.4598930481283423,-2.7417503586800573,0,2
Houston,big 12,0.09090909090909088,0.1707317073170731,1,0
Illinois,big ten,0.1558441558441558,0.2926829268292682,1,0
Indiana,big ten,0.11688311688311688,0.2195121951219512,1,0
Iowa,big ten,0.1363636363636364,0.2560975609756098,1,0
Iowa State,big 12,0.0,0.0,1,0
Jacksonville State,conference usa,-0.6818181818181819,-1.2804878048780488,1,1
James Madison,sun belt,0.10909090909090909,0.20487804878048776,1,0
Kansas,big 12,0.0,0.0,1,0
Kansas State,big 12,0.0,0.0,1,0
Kennesaw State,conference usa,0.0,0.0,1,0
Kent State,mid-american,-0.1477272727272727,-0.2774390243902438,0,1
Kentucky,sec,0.0,0.0,1,0
Liberty,conference usa,-0.6363636363636364,-1.195121951219512,0,1
Louisiana,sun belt,0.0,0.0,1,0
Louisiana Tech,sun belt,0.0,0.0,1,0
Louisville,acc,-0.8863636363636364,-1.6646341463414631,0,1
LSU,sec,0.17112299465240646,0.32137733142037306,1,0
Marshall,sun belt,-0.2222222222222222,-0.41734417344173436,0,1
Maryland,big ten,0.0,0.0,1,0
Massachusetts,mid-american,0.11111111111111116,0.2086720867208673,1,0
Memphis,american athletic,0.5324675324675325,1.0,2,0
Miami,acc,0.08556149732620323,0.16068866571018653,1,0
Miami (OH),mid-american,-0.5294117647058825,-0.9942611190817792,0,1
Michigan,big ten,0.06993006993006995,0.13133208255159476,1,0
Michigan State,big ten,0.055944055944055965,0.10506566604127582,1,0
Middle Tennessee,conference usa,0.0,0.0,1,0
Minnesota,big ten,0.0,0.0,1,0
Mississippi State,sec,0.025974025974025962,0.04878048780487802,1,0
Missouri,sec,0.0,0.0,1,0
Missouri State,conference usa,-0.31818181818181823,-0.5975609756097561,0,1
Navy,american athletic,0.0,0.0,1,0
NC State,acc,-0.3582887700534759,-0.6728837876614059,0,1
Nebraska,big ten,0.041958041958041974,0.07879924953095686,1,0
Nevada,mountain west,0.05454545454545453,0.10243902439024385,1,0
New Mexico,mountain west,0.034965034965034975,0.06566604127579738,1,0
New Mexico State,conference usa,-0.8716577540106951,-1.6370157819225248,1,1
North Carolina,acc,0.10227272727272727,0.19207317073170727,1,0
North Dakota State,mountain west,0.1636363636363636,0.3073170731707316,2,0
Northern Illinois,mountain west,-0.2777777777777778,-0.521680216802168,0,1
North Texas,american athletic,0.0,0.0,0,1
Northwestern,big ten,0.0,0.0,1,0
Notre Dame,fbs independents,0.05555555555555558,0.10433604336043364,1,0
Ohio,mid-american,-0.33333333333333326,-0.6260162601626014,0,1
Ohio State,big ten,0.020979020979020983,0.039399624765478425,1,0
Oklahoma,sec,0.0909090909090909,0.17073170731707313,1,0
Oklahoma State,big 12,-0.6493506493506493,-1.219512195121951,0,1
Old Dominion,sun belt,0.0,0.0,1,0
Ole Miss,sec,0.2994652406417112,0.5624103299856527,1,0
Oregon,big ten,0.18181818181818177,0.3414634146341462,1,0
Oregon State,pac-12,-0.6931818181818182,-1.3018292682926829,0,1
Penn State,big ten,0.051948051948051965,0.09756097560975611,1,0
Pittsburgh,acc,0.027972027972027982,0.05253283302063791,1,0
Purdue,big ten,0.0,0.0,1,0
Rice,american athletic,0.0,0.0,1,0
