rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
1,Texas,sec,3,0,78.63674422525439,0.389621263578697,1.0
2,Alabama,sec,3,0,63.55411454760422,0.30275211141670205,0.8147352407387638
3,West Virginia,big 12,3,0,62.50556624110587,0.4226071435600318,0.7340664033308424
4,Mississippi State,sec,3,0,58.454296887280165,0.5139024760984202,0.6225801572897762
5,Tennessee,sec,3,0,56.10386930704628,0.6453505278381629,0.5156400128109321
6,Florida,sec,3,0,55.5720782770184,0.6044316894289417,0.529491833030853
7,Virginia Tech,acc,3,0,54.39858954620414,0.6060127650138353,0.5105868118572294
8,Ole Miss,sec,3,0,53.161595556229,0.1789078392996597,0.7215357104729371
9,UCLA,big ten,3,0,51.79129109552289,0.38149844293826707,0.5913668552720545
10,Indiana,big ten,3,0,50.595504551500724,0.9177662954564116,0.28421052631578947
11,Notre Dame,fbs independents,3,0,50.540747257203144,0.5115176772302619,0.5021173623714458
12,Pittsburgh,acc,3,0,50.325446829850705,0.3307251458927589,0.596154872670833
13,Iowa,big ten,3,0,49.691663171451786,0.5703970136100561,0.4573502722323049
14,Penn State,big ten,3,0,49.035587290276624,0.7196582108863063,0.3668853832193215
15,USC,big ten,4,0,47.057406718447105,0.3052613137255737,0.5595886267392619
16,Duke,acc,3,0,44.65585789716513,0.2947371092724075,0.528308601117398
17,Miami,acc,3,0,43.68614659234586,0.9150913850462982,0.1793530479342373
18,Michigan,big ten,3,0,42.42881996628743,0.13897613696781771,0.5779177718832893
19,Kansas State,big 12,3,0,42.20554981051621,0.7356887708371498,0.2531760435571688
20,Georgia,sec,3,0,39.89269509981851,1.0,0.07527223230490018
21,Tulsa,american athletic,3,0,39.231236176027934,0.34053856017585643,0.42019056261343013
22,Cincinnati,big 12,3,0,38.945340365871004,0.5484024560603752,0.3038654523655058
23,LSU,sec,2,1,38.8636390859603,0.3219912071808023,0.4245222589943419
24,Texas A&M,sec,2,1,35.71675323533822,0.30736614118078076,0.383983666061706
25,Utah,big 12,3,0,35.31363592989935,0.8762477779297143,0.07146098003629764
26,BYU,big 12,3,0,33.71038742437777,0.5561666305850221,0.2191470054446461
27,James Madison,sun belt,3,0,33.198646302132126,0.509694275990397,0.2362976406533575
28,Nebraska,big ten,3,0,28.718571306751446,0.7334162711962688,0.04690772022895437
29,Northwestern,big ten,2,0,24.842728786010476,0.3912804542956585,0.17150635208711434
30,App State,sun belt,3,0,23.81940581942103,0.2558720563391748,0.22867513611615245
31,Vanderbilt,sec,3,0,22.497699222479216,-0.09665558841232041,0.39816376641400664
32,Missouri,sec,3,0,21.98809248775967,0.30592761009881136,0.17354809437386573
33,Louisville,acc,2,1,20.80530256568213,0.3175609484138678,0.14908722109533473
34,Texas Tech,big 12,3,0,19.761102729504117,0.14876808939366185,0.22391107078039924
35,North Dakota State,mountain west,4,0,18.97315855466372,0.17729895585272024,0.19642607845874632
36,South Florida,american athletic,3,0,18.627194183169074,0.28346300207032193,0.13393829401088933
37,Auburn,sec,2,1,16.896666352494933,-0.019020577639372267,0.27019056261343016
38,Houston,big 12,2,1,15.961935463551352,0.562225897869681,-0.057168784029038196
39,UCF,big 12,2,1,9.969295420151237,0.42401863746757357,-0.07494395217252056
40,Oklahoma State,big 12,2,1,9.643222852006343,0.23956870407685574,0.01935874168179065
41,Washington,big ten,3,0,9.325037947684525,0.12486885710003492,0.0762250453720508
42,Louisiana,sun belt,2,1,9.317336949577484,0.06173291811687119,0.1101028433151845
43,South Carolina,sec,2,1,9.112268505639436,0.4223287501481634,-0.087219042300712
44,Massachusetts,mid-american,3,0,8.173435710100716,0.1548818464920315,0.04234724742891714
45,Colorado State,pac-12,2,1,5.9031778803813495,0.17750977506300883,-0.004764065335753219
46,Illinois,big ten,2,1,5.611070403614827,0.1603162972461379,0.0
47,Ohio State,big ten,2,1,4.886055856699648,0.7446378935463576,-0.3257887756526595
48,Maryland,big ten,2,1,2.845174628803268,0.5434450754106369,-0.2488523540087542
49,Fresno State,pac-12,2,1,2.402254079716733,-0.14673017036087188,0.11596630834380382
